data_avaliacao,titulo,comentario_positivo,comentario_negativo
1º de dezembro de 2023,Excepcional,"Gostei de tudo,Muito obrigado pela atenção tds funcionários hotel,Nota máxima obg,",Eu gostei de tudo
25 de março de 2025,Bom,"Localização, cafe da amanhã, acomodação",Banheiro pequeno
24 de março de 2025,"Ótima localização e café da manhã, já o wifi...","Do conforto da cama, da localização, do café da manhã e da ducha do banheiro.","O wifi que não funcionou, mesmo depois de várias tentativas da equipe de suporte para resolver o.problema."
24 de março de 2025,Excepcional,"De tudo, excelente em todos os pontos.",Sem nenhum registro negativo.
22 de março de 2025,Muito bom,"Localização, gentileza dos funcionários.","Achei o café da manhã muito fraco, bolos, frutas. 
Se tem 3 pessoas no quarto, deve-se colocar 3 produtos de higiene para cada um.
Eu tive que pedir todos os dias, pois só era colocado produtos para 1 pessoa. 
Estavam em obras, precisei pedir 3 vezes para parar o barulho."
22 de março de 2025,Muito bom,Acolhimento do time da recepção.,Café da manhã.
22 de março de 2025,Muito bom,Janelas não vedam a 100% o som exterior,
20 de março de 2025,Fantástico,Equipe solícita e todos simpáticos. Café da manhã maravilhoso.,Estacionamento pago.
19 de março de 2025,O melhor café de boa viagem,"Recomendo pelo café e a boa localização na praia de boa viagem, ótima infraestrutura.",
18 de março de 2025,Sempre excelente.,"O café da manhã sempre excelente, com atendimento magnífico da Ana.",Nada a declarar.
18 de março de 2025,Excelente!,Café da manhã sensacional!,Ponto de melhoria seria ter um espaço para reuniões.
18 de março de 2025,Tranquila,Localização,Falta de jogo de cintura dos funcionários para lidarem com situações fora do comum.
17 de março de 2025,Excepcional,Instalações excelentes,
14 de março de 2025,Excepcional,"Café da manhã espetacular. Hotel com excelente infraestrutura, muito bem localizado na região de Boa Viagem e com um atendimento impecável.",
13 de março de 2025,Excepcional,"Excelente café da manhã e opções do restaurante, funcionários atenciosos, quarto confortável e espaço",Tudo perfeito
12 de março de 2025,Maravilhosa,"Conforto e vista para o mar, staf eficiente e gentil, especialmente a moça do bar da piscina",
12 de março de 2025,Excepcional,Do atendimento dos funcionários! Todos muito educados e atenciosos,
12 de março de 2025,Muito boa estão de parabéns muito top o café da manha é uma maravilha nota 10 show,Muito boa em todos aspectos,Único problema talvez faltou informação entre colaboradores mas vaso do nosso quarto estava entupido
11 de março de 2025,Café gastronômico,"A localização é privilegiada, perto do aeroporto e de vários bons restaurantes em região nobre. As acomodações são confortáveis e bem decoradas. Banho ótimo, cama maravilhosa, bons lençóis e toalhas. Mas o destaque mesmo, fica para o café da manhã, parece um festival gastronômico, os hóspedes parecem em festa logo pela manhã, a energia no salão é diferente de outros hotéis que já passei.",Não tenho nada a reclamar.
10 de março de 2025,A melhor opção para se hospedar em Boa Viagem,Café da manhã,Tudo foi ótimo
9 de março de 2025,Excepcional,Hotel Lindo e muito confortável,
7 de março de 2025,"Excelente experiência, equipe e limpeza impecáveis. Localização poderia ser melhor.","Equipe muito simpática e amável, bom café da manhã e serviço de quarto, extremamente limpo, absolutamente perfeito para relaxar.","A localização não é ideal para quem quer ficar mais perto do Recife Antigo ou Olinda, acaba ficando um pouco fora de mão para os percursos mais populares do carnaval."
6 de março de 2025,Boa opção,"Limpeza
Profissionalismo e simpatia do pessoal 
Pequeno almoço",
5 de março de 2025,Superou minhas expetativas.,Café da manhã sensacional; quarto muito confortável e moderno; e toda a equipe muito atenciosa.,Nada.
5 de março de 2025,excelente estadia,"cafe maravilhoso
vista fantastica",preço
3 de março de 2025,Fantástico,Ótima localização,Poderia valorizar o hóspede com cortesia de estacionamento e café gratuitos
3 de março de 2025,FICARIA DE NOVO,"QUARTOS MUITO BONS, CAFÉ DA MANHÃ EXCELENTE",FALTA PREPARO NA EQUIPE
3 de março de 2025,Excepcional,"Café da manhã excelente, pedidos no restaurante do hotel sempre dentro do prazo.",
3 de março de 2025,Melhor 5 estrelas de Recife.,Sempre esse hotel me surpreende. Dessa vez um upgrade para uma suite maravilhosa. Café da manhã excepcional.,
2 de março de 2025,Muito bom,O restaurante do hotel é muito ruim. Uma das piores comidas que já comi num restaurante.,
1º de março de 2025,Excepcional,"Excelente hotel, um ótimo café da manhã, restaurante com pratos variados e excelente atendimento.",
27 de fevereiro de 2025,Excelência a beira mar.,"Excelente localização, equipe muito bem treinada e atenciosa, além de ótima limpeza. Ficamos em uma área recém-reformada, com um quarto automatizado e vista parcial para o mar. O café da manhã é excelente!",Não identificamos nenhum ponto negativo.
27 de fevereiro de 2025,Espetacular,Tudo muito bom,Não teve nada que não gostasse
27 de fevereiro de 2025,RECOMENDO,"Localização, café da manhã, simpatia dos funcionários, apartamento muito bom, toalhas, jogos de cama de ótima qualidade.",Nada me chamou a atenção negativamente
