data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
5 de fevereiro de 2024;SUPEROU MINHAS EXPECTATIVAS;Do café da manhã , do quarto , dos funcionários De tudo ❤️;;10;;;;;;
31 de março de 2025;Muito bom hotel e confortável;O horário de café da manhã no dia de domingo poderia estender mais.;;10;;;;;;
29 de março de 2025;Foi boa;Gostei do café, da recepção.;Controle do consumo do quarto. Me cobraram duas aguas e só tinha consumido uma. Na comanda só tinha uma marcada e eu sofri constrangimento de assinar que só consumi uma. Mas na comanda já estava marcada uma.;8;;;;;;
29 de março de 2025;Muito bom;Sobre acompanhamento da família (no caso minha mãe de 70 anos, ela ia ficar eu não) direta e comprovada até o quarto, achei uma falta de sensibilidade e jeito de abordagem das funcionárias muito deselegante.;;8;;;;;;
27 de março de 2025;Hotel aconchegante.;Café da manhã impecável.;;10;;;;;;
27 de março de 2025;Bom;Foi uma experiência legal, porém o chekin geralmente demora um pouco.;;;;;;;;
Eu tive que sair no mesmo dia pois ainda tive que viajar.;;;;;;;;;;
Porém; se o chekin não tivesse demorado teríamos uma hora a mais para descansar.;;;;;;;;;
Válido ressaltar que na suíte delux que foi o quarto que fiquei; não tinha talheres. Levamos algumas frutas e não deu para corta-las.;;;;;;;;;
"Porém o lugar e incrível e muito aconchegante.""";;8;;;;;;;;
27 de março de 2025;Hotel atende as expectativas;Quarto grande, cama boa.;Emissão da nota fiscal, poderia ser no check in.;;;;;;;
Não emitiu no checkout;;;;;;;;;;
e tive que ficar pedindo varias vezes por email.;;;;;;;;;;
"chato isto""";8;;;;;;;;;
26 de março de 2025;Excepcional;Pontos positivos: cama confortável, travesseiros muito macios, ambiente muito limpo, equipe muito cordial, cafe da manha muito bom, bem localizado próximo a supermercados por exemplo (acho importante) e tb perto do aeroporto guararapes.;O hotel dispõe de restaurante o que é bem interessante mas precisa melhorar no cardápio e a refeição (a la carte) é bem cara e achei sem sal, sem tempero...;10;;;;;;
25 de março de 2025;Muito bom!;O café da manhã;Nada;8;;;;;;
21 de março de 2025;Fantástico;Do café da manhã, produtos de qualidade;Nada;9;;;;;;
20 de março de 2025;Muito bom;Localização;Esqueci uma garrafa térmica no quarto, entrei em contato com achados e perdidos duas vezes, não me retornaram. Não me devolveram. Não retornarei ao hotel, pois já me hospedei com familiares várias vezes. Perdi a confiança.;8;;;;;;
20 de março de 2025;Hotel Fantástico.;Hotel excelente! Café da manhã maravilhoso, faz tapioca e omelete na hora. Quarto amplo, aconchegante, chuveiro maravilhoso. Wi-fi funcionou perfeitamente! Super recomendo.;;9;;;;;;
20 de março de 2025;Um bom lugar para se hospedar em Recife;Café simples porem bom uma tapioca feita na hora muito boa, o apartamento bom tamanho bom e confortável, uma ducha muito boa para o banho, uma boa limpeza;O café poderia ser melhor;10;;;;;;
