data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;
7 de novembro de 2024;Vale a pena!!!;Quartos excelentes !! Instalações bonitas e bem cuidadas!;O sistema de estacionamento com manobrista um pouco confuso;10;;;
1º de abril de 2025;Estadia maravilhosa;Gostei muito de toda a equipe do hotel, são atenciosos e gentis. Amei o café da manhã, várias opções. O NIlton faz a melhor tapioca e omelete e é muito simpático. As acomodações são maravilhosas: cama, banheiro, acústica do quarto, limpeza... Tudo nota mil! Com certeza voltarei!;Gostei de tudo!!;10;;;
31 de março de 2025;Fantástico;Café, colchão;Muitos mendigos no entorno;9;;;
28 de março de 2025;Excelente hospedagem;Do conforto , limpeza , simpatia funcionários , ótimo restaurante !;;10;;;
28 de março de 2025;Confortável!!!;Do estilo contemporâneo, do conforto , do perfume delicioso , gentileza e educação dos funcionários , do restaurante , cardápio diversificado e ótimos preços;Gostei de tudo;10;;;
25 de março de 2025;Excelente;Tudo;;10;;;
24 de março de 2025;Excelente estadia. Voltarei e recomendo.;Excelente café da manhã. Ótima localização.;Chuveiro agua quente não funcionou na primeira noite. Resolvido dia seguinte. Ar condicionado pouco barulhento.;9;;;
22 de março de 2025;Muito bom!;Quarto extremamente limpo e confortável, funcionários educados e atenciosos, voltarei com certeza.;;10;;;
21 de março de 2025;Fantástico;Cafe da manhã bem servido, bom atendimento dos funcionários, hotel bem localizado. Quando falei na recepção o que faltava já foram arrumar logo.;De noite demorou bastante pra esquentar a água do banho, não tinha shampoo nem sabonete liquido nos potes do banheiro. Cama mais mole, travesseiro mais alto.;9;;;
18 de março de 2025;Excepcional;A equipe é excepcional e muito gentil;;10;;;
17 de março de 2025;Hotel novo e moderno;O hotel é bastante novo. Quarto com cama confortável. Café da manhã muito bom, com funcionários atenciosos. Recepção também bastante gentil e ágil.;;;;;
Piscina e academia boas.;;;;;;;
Custo; em relação aos hotéis de Recife;" muito bom.""";O banheiro do quarto é em drywall e com uma parte em vidro fosco, o que reduz a privacidade. Viajei com uma amiga e considerei desconfortável.;;;;
;;;;;;;
 A ducha é muito fraca; o que foi um pouco decepcionante para um hotel tão novo.;;;;;;
;;;;;;;
