data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;
21 de abril de 2024;Top de verdade;Super limpo, ambiente diferente dos outro, muito organizado, café da manhã maravilhoso;Nem;10;;;;;;;;;;;;;;;;;;;;;;;
12 de março de 2025;Foi agradavel, usei o hotel somente durante a noite.;O atendimento é excelente e a localização.;O box do banheiro, acredito que pode ser trocado para melhorar a higiene do espaço.;7;;;;;;;;;;;;;;;;;;;;;;;
10 de março de 2025;Estadia super agradável, desde a recepção até o meu checkout;Limpeza, café da manhã;N/ D;9;;;;;;;;;;;;;;;;;;;;;;;
9 de março de 2025;Custo benefício ok;Bom custo benefício - pernoite em Recife para descansar e seguir para destino final;;;;;;;;;;;;;;;;;;;;;;;;;
Quarto confortável;" Café e WiFi OK!""";Sem estacionamento privativo, mas rua tranquila para estacionar;8;;;;;;;;;;;;;;;;;;;;;;;;
9 de março de 2025;Muito bom;O local é bem localizado, o quarto é relativamente espaçoso e os funcionários são bastante atenciosos. O hotel é um bom básico e atendeb em a uma viagem de poucos dias a Recife.;Não tem nada que não tenha gostado;8;;;;;;;;;;;;;;;;;;;;;;;
4 de março de 2025;Muito bom;Atendimento e limpeza são ótimos.;Acessibilidade deixa a desejar, tinha machucado o joelho e tive que subir degraus na entrada carregando as malas.;8;;;;;;;;;;;;;;;;;;;;;;;
24 de fevereiro de 2025;O hotel tem boas instalações, mas poderia ser mais flexível com os horários de check-in e check-out.;O café da manhã é maravilhoso e o hotel fica bem localizado, próximo a rede de bares e restaurantes, assim como fica bem próximo da praia.;Os quartos não são tão confortáveis, com pouca ventilação, e não tem utensílios básicos, como secador, à disposição.;7;;;;;;;;;;;;;;;;;;;;;;;
23 de fevereiro de 2025;Bom custo-beneficio;Localização muito boa, próxima a restaurantes, padarias e da praia também. Café da manhã variado, limpeza adequada. Um bom custo-beneficio.;Banheiro pequeno e sem box (apenas cortina). Os quartos para rua, se houve barulho dos restaurantes.;8;;;;;;;;;;;;;;;;;;;;;;;
10 de fevereiro de 2025;Fantástico;Localização;;9;;;;;;;;;;;;;;;;;;;;;;;
9 de fevereiro de 2025;Ótimo custo benefício.;Ótima localização para quem viaja a lazer ou a trabalho.;Precisam trocar a cortina do banheiro por uma box de vidro.;8;;;;;;;;;;;;;;;;;;;;;;;
8 de fevereiro de 2025;Com qualidade, com localização com simpatia do pessoal do café e da limpeza;1)Ja havia lido sobre a gentileza do pessoal da limpeza e do cafe da manha que assino e confirmo isto de fato é um diferencial enorme no hotel;;;;;;;;;;;;;;;;;;;;;;;;;
2)A localização e os serviços próximos tambem servem como referência para o hotel;;;;;;;;;;;;;;;;;;;;;;;;;;;
3)Tem um ar meio de estúdio mas senti como hotel;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4)O quarto é amplo e espaçoso""";1)Talvez melhor relação de atendimento em todos horarios no balcao de entrada. Fui muito bem recebido mas esta não foi uma constância nos 4 dias que permaneci;;;;;;;;;;;;;;;;;;;;;;;;;;
2)Talvez um pouco mais de diversidade no café da manhã; apesar de ser de excelente qualdade;;;;;;;;;;;;;;;;;;;;;;;;;;
3)Nao sei se de costume na cidade de Recife mas como fiquei febril num periodo; precisava de agua mais aquecida e nao consegui resolver acabei por usar o banho normal; mas dentro do que se espera do hotel era apenas um item a ser olhado;;;;;;;;;;;;;;;;;;;;;;;;;
4)Talvez deixar um mural de folhetos para quem for para Recife a passeio;" ate tipo um mapa da cidade e algo assim""";9;;;;;;;;;;;;;;;;;;;;;;;;;
6 de fevereiro de 2025;Ótimo custo benefício;Localização Excelente. Atendentes simpáticas. Limpeza OK. Bom custo benefício.;Prédio sem estacionamento. Hotel antigo porém reformado. Não tem nenhuma opção de lazer.;8;;;;;;;;;;;;;;;;;;;;;;;
3 de fevereiro de 2025;Muito bom;O café da manhã muito bom e o atendimento excelente!;O banheiro precisa ser reformado.;8;;;;;;;;;;;;;;;;;;;;;;;
31 de janeiro de 2025;Bom;;O Professor informou sobre a estrutura do banheiro e quarto não serem como estava nas imagens...;7;;;;;;;;;;;;;;;;;;;;;;;
28 de janeiro de 2025;Bom custo benefício;Pedimos 2 quartos,;;;;;;;;;;;;;;;;;;;;;;;;;
Um muito bom e outro um pouco mais simples.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mas no geral.muito bom!""";Nada!;8;;;;;;;;;;;;;;;;;;;;;;;;;
28 de janeiro de 2025;Muito bom;Gentileza dos funcionários.;;;;;;;;;;;;;;;;;;;;;;;;;
Localização excelente.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ótimo café da manhã.""";Apartamento apertado.;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rua barulhenta (muitos bares no entorno).""";8;;;;;;;;;;;;;;;;;;;;;;;;;;
27 de janeiro de 2025;Bom;O hotel é bem localizado, da para fazer várias coisas a pé mas está meio velho. O café da manhã deixou a desejar!;;7;;;;;;;;;;;;;;;;;;;;;;;
27 de janeiro de 2025;Um ótimo custo beneficio.;Localização excelente. Café da manhã bem completo e bem feito. O quarto limpo e bem organizado. A equipe é prestativa e solicita. Honestamente, é um hotel bem competente.;A únicas coisas que não gostei foi o box do banheiro que é bem apertado, com o chuveiro baixo também. E a cama de casal que são duas camas de solteiro juntas, ou seja, existe uma fresta no meio da cama que é bem inconveniente.;9;;;;;;;;;;;;;;;;;;;;;;;
22 de janeiro de 2025;boa;Localização;Banheiro e quarto;7;;;;;;;;;;;;;;;;;;;;;;;
22 de janeiro de 2025;Ótimo custo benefício.;Os quartos são bem espaçosos e confortáveis;Não tem estacionamento no hotel, você precisa parar na rua e nem sempre tem vaga, porque há outros comércios em volta… as vezes dava algumas voltas no quarteirão até achar algo perto.;9;;;;;;;;;;;;;;;;;;;;;;;
18 de janeiro de 2025;Bom;Quarto ótimo.;Sem estacionamento.;7;;;;;;;;;;;;;;;;;;;;;;;
17 de janeiro de 2025;Expectativas Superadas;O local está bem próximo da praia de Boa Viagem, muito agradável, limpo, os funcionários muito educados e prestativos.;;9;;;;;;;;;;;;;;;;;;;;;;;
15 de janeiro de 2025;Muito bom;;Falta de estacionamento;8;;;;;;;;;;;;;;;;;;;;;;;
14 de janeiro de 2025;Boa localização apesar de estar em obras;Localização.;Obras;8;;;;;;;;;;;;;;;;;;;;;;;
13 de janeiro de 2025;Fantástico;Da localização, os funcionários atenciosos, café maravilhoso.;;9;;;;;;;;;;;;;;;;;;;;;;;
13 de janeiro de 2025;Localização;Localização, recepção e custo benefício;Cama de casal eram 2 camas de solteiro juntas;8;;;;;;;;;;;;;;;;;;;;;;;
12 de janeiro de 2025;Fantástico;Limpeza, café da manhã, cordialidade dos funcionários;;9;;;;;;;;;;;;;;;;;;;;;;;
7 de janeiro de 2025;Boa localização;Bem localizado, com restaurantes, bares, farmácias e mercados nas proximidades.;;;;;;;;;;;;;;;;;;;;;;;;;
"Café da manhã com opções diversas. A 5 minutos da praia.""";;9;;;;;;;;;;;;;;;;;;;;;;;;;
6 de janeiro de 2025;Muito bom;Localização muito boa! Próxima a praia e com vários serviços nas redondezas (restaurante, bares, farmácia, supermercado);O hotel está passando por reformas. Alguns quartos já foram atualizados, mas outros ainda estão um pouco antigos, porém, no geral, as acomodações são boas.;8;;;;;;;;;;;;;;;;;;;;;;;
3 de janeiro de 2025;Fantástico;Das camas e chuveiro;Do cheiro;9;;;;;;;;;;;;;;;;;;;;;;;
3 de janeiro de 2025;Muito bom;Localização;Espaço e disposição do banheiro. Cortinas mofadas no quarto.;8;;;;;;;;;;;;;;;;;;;;;;;
1º de janeiro de 2025;Localização ótima.;Localização e conforto do quarto.;O hotel não tinha estacionamento.;7;;;;;;;;;;;;;;;;;;;;;;;
26 de dezembro de 2024;Boa localização.;Localização muito boa. Café da manhã bom, mas alguns itens poderia melhorar.;;7;;;;;;;;;;;;;;;;;;;;;;;
26 de dezembro de 2024;Muito bom;Quarto limpo e confortável;Um pouco de barulho externo;8;;;;;;;;;;;;;;;;;;;;;;;
16 de dezembro de 2024;Fantástico;Tudo em si.;Do barulho que faz um bar próximo;9;;;;;;;;;;;;;;;;;;;;;;;
14 de dezembro de 2024;Hotel é um bom custo-benefício, porém sentimos falta desses detalhes descritos acima.;Quarto espaçoso, bem limpo e café da manhã bom. Funcionários bem atenciosos. A localização do hotel é ótima.;Já havíamos ficado outra vez em um quarto triplo e tinha sido ótimo! Porém dessa vez ficamos em um que o banheiro não tinha blindex, apenas aquela cortina. Também sentimos muita falta de ganchinhos para pendurar as toalhas, e nos incomodou que a janela do banheiro não parava aberta.;7;;;;;;;;;;;;;;;;;;;;;;;
8 de dezembro de 2024;Ótima;Localização;Pouca coberta;9;;;;;;;;;;;;;;;;;;;;;;;
3 de dezembro de 2024;Ótimo custo-benefício;Excelente localização, muito perto da praia, de ótimos restaurantes e de comodidades. Funcionários muito atenciosos e simpáticos. Bom café da manhã. Hotel bem cuidado e limpo. Ar condicionado split, frigobar, TV e internet ok. Voltarei com certeza.;Colchão poderia ser um pouco mais macio. Poderia haver 1 blackout a mais pra vedar melhor a janela. Mas nada que comprometa.;8;;;;;;;;;;;;;;;;;;;;;;;
1º de dezembro de 2024;Magnífica 👏🏽👏🏽;Tudo muito bom, do café da manhã, recepção e limpeza, tudo muito bom.😍;As acomodações são ótimas, a única coisa q deixa a desejar é q no quarto não havia espelho, só tem um no banheiro q é pequeno e não tem como vc se olhar por inteiro, de resto tudo é perfeito.😍;9;;;;;;;;;;;;;;;;;;;;;;;
30 de novembro de 2024;Ótima experiencia;Hotel organizado, limpo.;Café da manhã poderia ser melhor.;9;;;;;;;;;;;;;;;;;;;;;;;
30 de novembro de 2024;agradável;equipe muito agradável e solicita, ótima localização em relação a praia e orla, um pouco distante do centro.;faltam opções de almoço e janta no hotel, mas fora isso tudo perfeito!;8;;;;;;;;;;;;;;;;;;;;;;;
29 de novembro de 2024;Localização ótima e ambiente agradável.;Ótima localização, limpeza quarto, café da manhã, conforto térmico e os cabides - muito bons!;Último dia estadia o elevador ficou em manutenção (fui avisada), e como estava no quarto andar foi difícil para descer.;9;;;;;;;;;;;;;;;;;;;;;;;
27 de novembro de 2024;Atendimento ótimo, custo beneficio apropriado, ótima localização.;Amamos o café da manhã, bem organizado, com opções legais, e ótimo atendimento. Localização favoravel, do ladinho da praia e com facilidade para uber, taxi e onibus. Muito agradável.;Nos incomodou a disposição do ar-condicionado no quarto, ele ficava de lado muito direcionado ás nossas cabeças. A cama de casal era confortável, porém para eu marido que tem 1,90 não era a mais espaçosa.;8;;;;;;;;;;;;;;;;;;;;;;;
27 de novembro de 2024;Bom;Localização e equipe;Quarto muito apertado e banheiro sem preparo para pessoas com dificuldade de locomoção, não tem quartos para pessoas com mobilidade reduzida;7;;;;;;;;;;;;;;;;;;;;;;;
25 de novembro de 2024;Bom;Perto da praia e de restaurantes. Funcionários atenciosos e solícitos;Muito barulho vindo dos bares em frente ao hotel, foi difícil conseguir dormir. E os quarto era bem diferente da foto. Janelas e cortinas que não fechavam direito.;7;;;;;;;;;;;;;;;;;;;;;;;
