data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
20 de setembro de 2022;Excepcional;Gostei da localização, ambiente agradável;;10;;;;;;
31 de março de 2025;Ótimo hotel! Vizinhança nem tanto...;Adorei o café da manhã! Muito variado e tudo muito gostoso e fresquinho. O hotel é muito organizado, limpo e os atendentes são muito gentis.;Não gostei do barulho da vizinhança. Estávamos no último andar e nem assim deixamos de ser incomodados com o barulho dos ônibus, de pessoas fazendo festa e gritaria, fora o alarme do portão do prédio em frente que toca cada vez que abre e fica tocando até o portão fechar... é muito alto e incomodou demais.;9;;;;;;
28 de março de 2025;Local limpo e acolhedor!;Gostamos muito da localização, do pessoal da recepção e do garçom do restaurante. ;;;;;;;;
A limpeza estava excelente; toalhas e roupas de cama também.;;;;;;;;;
Muito próximo da praia e da feirinha de artesanato;" foi nossa segunda estadia lá e voltaríamos com certeza""";;9;;;;;;;
27 de março de 2025;Fantástico;Bem localizado e com uma equipe prestativa, o hotel tem boa estrutura. Quarto amplo com muitas comodidades.;Havia problemas hidráulicos (vazamentos) no banheiro;9;;;;;;
27 de março de 2025;Bom;Funcionários muito atenciosos e prestativos! Localização boa. Café da manhã bom! ;;;;;;;;
Único ponto que deixa a desejar foram os travesseiros;" que não estavam muito cheirosos.""";;7;;;;;;;
26 de março de 2025;Fantástico;Ótimo tamanho do quarto e banheiro, cama confortável, café da manhã farto e delicioso. Boa localização, perto de restaurantes e do aeroporto. Tem estacionamento coberto com serviço de manobrista, mas é pago.;Só tem um elevador pequeno que desce pra garagem. A piscina não é aquecida.;9;;;;;;
25 de março de 2025;Muito bom;Localização;Estacionamento indisponível, tal informação não constava no momento da reserva. Deveria ser informado que estava em obra e sem acesso à garagem;8;;;;;;
25 de março de 2025;Bom o hotel;Do café da manhã;;8;;;;;;
25 de março de 2025;Muito bom;A localização é ótima, uma quadra da praia.;;;;;;;;
Os funcionários educados; o café da manhã é bom; o restaurante razoável.;;;;;;;;
No geral eu gostei;" minha nota é 8""";O ponto negativo, é que o hotel está em reforma na parte externa, e isso gera barulho.;;;;;;;;
A piscina de adulto preciso pontuar; ela inteira tem 1;75 metros de profundidade; quem não sabe nadar; não dá para entrar.;;;;;;
"O jeito foi ficar na piscina de criança 😂""";8;;;;;;;;;
25 de março de 2025;Razoável;Cama, localização;Chuveiro, café da manhã, vaso sanitário;7;;;;;;
25 de março de 2025;Bom;Um hotel com um custo benéfico bacana e bom café da manhã ! Atendentes simpáticos e prestativos;;7;;;;;;
25 de março de 2025;Fantástico;Acomodação e localização;A falta de vaga no estacionamento;9;;;;;;
24 de março de 2025;Muito bom;Funcionários muito simpáticos, chuveiro muito bom, boa localização, ótimo custo-beneficio.;Quando chegamos não tinha vaga no estacionamento, tivemos que deixar o carro na rua. O sinal da tv as vezes caía.;8;;;;;;
24 de março de 2025;Muito bom;Apartamento limpo, cheiroso, cama confortável , pessoal atencioso e simpático.;Aparência do restaurante muito antigo, mas comida boa.;8;;;;;;
24 de março de 2025;Fantástico;Acomodações e localização;;9;;;;;;
23 de março de 2025;Fantástico;O café tava ótimo, a localização é ótima tbm, tudo perto praia, feirinha e etc...;Precisa só um espelho no quarto!😄pq só.tem no banheiro!;9;;;;;;
23 de março de 2025;Bom;Bom;Bom;7;;;;;;
23 de março de 2025;Ótima localização e café da manhã.;O café da manhã é muito bom, bastante variedade de comidas salgadas e doces. A localização é simplesmente perfeita, em poucos minutos você consegue sair do quarto e ir para a praia e áreas próximas, fantástico.;A pressão do chuveiro da água fria era baixa, considerando que o clima é bem quente, ficava ruim misturar a água fria com a quente para ter uma vazão de água para um banho confortável. A água da torneira do banheiro era sempre quente.;8;;;;;;
23 de março de 2025;Bom;A localização é muito boa, próximo a bares, farmácias e supermercado. O café da manhã deixa a desejar.;;7;;;;;;
22 de março de 2025;Muito bom;Localização;Chuveiro sem água quente de manhã;8;;;;;;
21 de março de 2025;Bom, mas pode melhorar muito.;Camas e roupas de cama boas.;Café da manhã... Peguei fila, faltaram itens... Comi mal.;7;;;;;;
18 de março de 2025;Bom custo benefício.;Localização;Chuveiro água muito fraca, elevador apertado;8;;;;;;
18 de março de 2025;Bom;Ar condicionado gela bem;A cama desconfortável, banheiro com vazamento no vazo e no pai.;7;;;;;;
15 de março de 2025;Bom!;Hotel bom, limpo;;;;;;;;
Café da manhã ok;;;;;;;;;;
Funcionários educados;" em especial René da recepção nos recebeu maravilhosamente bem""";Barulho nos corredores, as camareiras conversando em tom ALTÍSSIMO!!!!!;9;;;;;;;
14 de março de 2025;Legal!;Quarto espaçoso, funcionários prestativos,;Banheiro poderia ser mais bem cuidado, peças velhas;;;;;;;
13 de março de 2025;Ótima estadia;Ótima localização, café da manhã muito bom, funcionários educados e prestativos. Destaque para os funcionários Drailton e Pricyla. Recomendo!!;;9;;;;;;
13 de março de 2025;Boa localidade, mas hotel precisa de manutenção;Conforto;Banheiro;7;;;;;;
13 de março de 2025;Muito boa.;Café excelente. ;;;;;;;;
"Localização excelente.""";O estacionamento deveria ser maior.;9;;;;;;;;
13 de março de 2025;Custo benefício ruim;Bem localizado no coração de Boa viagem.;;;;;;;;
"Comodidade de guarda malas. O funcionário que guardou minha mala foi muito gentil e educado.""";Os funcionários te olham com cara feia, são grosseiros, comportamento passivo-agressivo e são antipáticos. O café da manhã é bastante farto e com variedades, mas não é saboroso, as coisas não tem gosto de nada e os produtos tem baixa qualidade. O pão de queijo é uma vergonha e horroroso, assim como a maioria das comidas. Quase tudo é industrializado e dá pra perceber que o que cozinham lá é de marcas ruins, não usam matéria prima de boa qualidade. Achei a comida bem decepcionante.;;;;;;;;;
O hotel precisa de reforma; vários pontos feios. ;;;;;;;;;
A descarga do sanitário tinha problema; a limpeza do banheiro foi mal feita e o gosto de cloro na água para escovar os dentes estava muito forte.;;;;;;;;;
;;;;;;;;;;
Acho que o custo benefício não valeu.;;;;;;;;;;
Paguei caro pra um serviço ruim.;;;;;;;;;;
;;;;;;;;;;
"Não recomendo!""";7;;;;;;;;;
12 de março de 2025;Fantástico;Localização, café da manhã e atendimento.;Nada a pontuar.;9;;;;;;
12 de março de 2025;Vale a pena!;Tudo bem limpo, localização boa, café da manhã variado. Atendimento ótimo.;Gostei de tudo.;9;;;;;;
12 de março de 2025;Fantástico;Hotel bem localizado, perto da praia e a 10 min de uber para o aeroporto;;9;;;;;;
11 de março de 2025;Bom custo-beneficio;Localização, tamanho do quarto e do banheiro e café da manhã;Colchão de uma das camas de solteiro;7;;;;;;
11 de março de 2025;Ótimo hotel, mas tem que trocar urgente a lavanderia e a roupa de cama;O café da manhã é maravilhoso, tem muitas opções. O quarto é bastante espaçoso, atendeu eu e minha namorada com sobras. A equipe é muito prestativa e ajuda muito, a todo momento e toda interação eles eram solicitos e conseguiam prestar muito suporte. A localização também é muito boa, um quarteirão da praia e poucos quarteirões (cerca de 3) da feirinha de Boa Viagem.;"O hotel dispõe somente de 1 elevador ""social"", com espaço para algumas pessoas e outro de ""serviço"", com espaço para 4 pessoas bem apertadas, nos horários de pico a disponibilidade dos elevadores é em limitada e no nosso andar - o 8 - o elevador social estava com problema no botão (para descer tínhamos que apertar para subir e vice-versa). Mas o que mais nos incomodou foi a limpeza da roupa de cama e toalhas. Todos os dias os lençóis, fronhas e cobertores estavam sujos, com manchas e algumas vezes cheirando mal. Mesma coisas para toalhas, além de parecerem bem velhas sempre estavam sujas.";7;;;;;;
11 de março de 2025;Atendeu as expectativas e pretende ficar novamente em proxima ida a Recife.;O quarto é bem espaçoso, principalmente pra quem tem criança e uma serie de malas. O café da manhã é bem variado e fazem tapioca na hora. A cama de casal é king size, permitindo maior conforto para dormir inclusive com os filhos junto dos pais.;A limpeza do banheiro não estava satisfatória, e o basculhante estavam quebrados o que possibilitava a visão do prédio ao lado. Os blackout das cortinas são curtos e não tampam a totalidade da janela, o que também tira a privacidade do hospede dentro do quarto e traz claridade ao amanhecer.;8;;;;;;
10 de março de 2025;Boa;Localização, Equipe, Restaurante;Vagas limitadas na garagem;8;;;;;;
10 de março de 2025;Fantástico;Gostei do atendimento da equipe em especial Priscila que me deu dicas para aproveitar a cidade em família.;;9;;;;;;
6 de março de 2025;Muito bom;Café da manhã e almoço;Preço do frigobar , portas só fecham com forte batida incomodando e sendo incomodado ,;8;;;;;;
6 de março de 2025;Muito caro p o período de carnaval;Serviço do restaurante no período d carnaval ;;;;;;;;
"Das 22:00 às 5 da manhã""";Somente 13 vagas d carro disponíveis, tive q pagar um ed garagem p guardar o carro beeem longe;9;;;;;;;;
5 de março de 2025;Tudo ok.;Localização excelente e o atendimento no geral também. A recepcionista que nos atendeu no balcão era simplesmente fantástica, uma simpatia fora do comum. Se não me engano o nome dela era Pryscila.;No dia houve queda de energia na rua, e passamos a noite com o barulho do gerador na cabeça. Mas entendo que isso fuja do controle do hotel, é um fator externo. O banheiro do lobby é bem pequeno e pouco privativo.;8;;;;;;
4 de março de 2025;Fantástico;Do atendimento do pessoal do hotel ,são muito prestativos , da localização, próximo da praia e do evento q a gnte foi;Só a cama de solteiro , tava um pouco funda no meio ,e era pequena;9;;;;;;
2 de março de 2025;Bom custo x benefício;Hotel simples, mas bom. ótimo para passar poucos dias. Bom atendimento, localização, equipe da recepção e café atenciosa também.;Limpeza, o chão do quarto e principalmente banheiro estavam só a gordura. ;;;;;;;
"A limpeza do café também deixou um pouco a desejar.""";7;;;;;;;;;
1º de março de 2025;Fantástico;Quarto limpo. Roupas de cama limpas. Funcionários gentis e atenciosos;Localização boa. Hotel bom.;9;;;;;;
28 de fevereiro de 2025;Muito bom;O hotel é antigo e deixa a desejar um pouco na limpeza dos quartos. Mas estava tudo ok. Os funcionários são excelentes e o café da manhã muito bom.;;8;;;;;;
27 de fevereiro de 2025;Bom;Atendimento dos colaboradores, limpeza do hotel;O hotel está em reforma e você precisa utilizar uma escada minúscula para subir com malas. Banheiros não possuem suporte para as toalhas. O café da manhã tem bastante opção, mas não possui nada para celíacos ou intolerantes ao leite/lactose. Tive que pedir ovo à parte, que vieram fritos nos dois dias e havia pedido mexidos. Movimentação grande durante o café e a equipe precisa ter muito jogo de cintura. Café da manhã deveria iniciar mais cedo para não acumular tanta gente;7;;;;;;
27 de fevereiro de 2025;Fantástico;atendimento, café da manha;janelas batem muito;9;;;;;;
26 de fevereiro de 2025;Magnifica;Limpeza, localização,próximo da praia.;;9;;;;;;
26 de fevereiro de 2025;Local excelente café da manhã top;Quarto grande;Estacionamento não tem;8;;;;;;
26 de fevereiro de 2025;Fantástico;;A TV é sofrível;9;;;;;;
25 de fevereiro de 2025;Ótimo custo benefício;Tem um bom café da manhã e piscina muito boa. Bem localizado, fácil acesso a praia e com opções de restaurante nas redondezas;As camas um pouco desconfortáveis;8;;;;;;
24 de fevereiro de 2025;Fantástico;Boa localização, equipe legal e atenciosa.;;9;;;;;;
24 de fevereiro de 2025;Bom;;Ar condicionado tem barulho;7;;;;;;
21 de fevereiro de 2025;Dias maravilhosos;Cama macia, roupa de cama impecável, limpeza do quarto muito bem feita;Preço da água..es;9;;;;;;
20 de fevereiro de 2025;Fantástico;Atendimento excelente, quarto amplo, confortável, café da manhã com várias opções.;;9;;;;;;
20 de fevereiro de 2025;Muito bom;Localização e conforto da acomodação.;O fluxo de clientes é muito alto para poucos funcionários atendendo na recepção. Apenas uma pessoa para checkin, checkout, atender demandas dos hóspedes, guardar as malas, entre inúmeras demandas que ocorrem durante o dia. Sugiro ter pelo menos duas pessoas atendendo full time na recepção, ajuda no atendimento mais ágil.;8;;;;;;
17 de fevereiro de 2025;Bom;Localização, café da manhã;Janelas com folgas e barulhentas com o vento;7;;;;;;
16 de fevereiro de 2025;Fantástico;Um hotel com uma ótima localização, funcionários educados.;;9;;;;;;
16 de fevereiro de 2025;Muito bom;Cafe da manhã variado, quarto confortável e boa ducha..;Falta de vaga na garagem. Estacionei na rua.;8;;;;;;
15 de fevereiro de 2025;Ótimo custo X benefício.;Ótima localização. Café da manhã.;;7;;;;;;
15 de fevereiro de 2025;Apesar dos problemas o custo benefício é bom.;Localização é excelente, atendimento muito bom, limpo, o café é ótimo.;Muito barulho do ar condicionado e a instalação hidráulica do banheiro com vazamentos, fica sempre água pingando...ao tomar banho a água não escoa vazando pra fora do box.;7;;;;;;
14 de fevereiro de 2025;Custo-benefício muito bom! Café da manhã ótimo.;Limpeza e café da manhã;Quarto bem simples;9;;;;;;
14 de fevereiro de 2025;Muito bom;Localização, café da manhã, staff, tamanho do quarto bem espaçoso;Porta do banheiro precisa de reparo ou troca, tava rachada. Chuveiro e torneira do banheiro precisando de reparos, pois ficavam gotejando.;8;;;;;;
13 de fevereiro de 2025;Ótima.;Café da manhã maravilhoso. Funcionário da recepção muito prestativo.;Poderiam melhorar só a abertura e fechamentos das portas que causam muito barulho.;8;;;;;;
12 de fevereiro de 2025;Excelente custo-benefício;Excelente custo-benefício! A localização é ótima e o café da manhã é muito bom! O quarto é bem grande e confortável!;Creio que o unico ponto de melhoria seria o chuveiro que nao era muito bom.;8;;;;;;
12 de fevereiro de 2025;Bom;;O Café da manhã poderia ser melhor.;7;;;;;;
11 de fevereiro de 2025;Fantástico;Excelente acomodação, confortável, funcionários receptivos, café da manhã bom.;Nada a reclamar;9;;;;;;
11 de fevereiro de 2025;Fantástico;Da localização do café da manhã do atendimento maravilhoso dos funcionários, principalmente os da recepção.;Das cortinas dos quartos, estavam muito mofadas os banheiros antigos.;9;;;;;;
10 de fevereiro de 2025;Bom;Localização;Estrutura do quarto.;7;;;;;;
10 de fevereiro de 2025;Bom;Atendimento do Anderson, Joana e o galego que não lembro o nome kkk;Elevador estragado, não tem tv por assinatura, meu carro ficou na rua;7;;;;;;
8 de fevereiro de 2025;Estadia satisfatória. Com pequenos ajustes poderia ser boa.;Ficamos uma noite pois fomos para Porto De Galinhas no dia seguinte. Quarto espaçoso, hotel próximo ao aeroporto e à praia de Boa Viagem. Frigobar no quarto. Funcionários nota dez.;Instalações antigas. Quarto e cortina com cheiro de ambiente fechado. Sugiro a troca das toalhas.;7;;;;;;
8 de fevereiro de 2025;Muito bom;Atendimento;Estrutura antiga;8;;;;;;
8 de fevereiro de 2025;Muito bom;A cama era confortável. E café da manhã razoável.;A limpeza do banheiro deixa a desejar. Toalhas muito velhas de baixa qualidade, amarelas e parecendo uma lixa. E tbm não tinha toalha de rosto.;8;;;;;;
7 de fevereiro de 2025;Localização;Localização e atendimento dos funcionários;Hotel bom, mas estrutura necessitando de manutenção;7;;;;;;
7 de fevereiro de 2025;Ótima;Hotel muito bem localizado e tranquilo com um excelente café da manhã e atendimento.;;8;;;;;;
7 de fevereiro de 2025;Muito boa;As atendentes da recepção são maravilhosas em especial Prycila;O café poderia ser mais diversificado mas deu pra atender;9;;;;;;
7 de fevereiro de 2025;Fantástico;Localização;Barulho no quarto;9;;;;;;
7 de fevereiro de 2025;Muito bom;Café da manhã bem servido, a cama confortável e funcionários simpáticos.;A água quente não estava funcionando;8;;;;;;
6 de fevereiro de 2025;Muito bom;Os funcionários são atenciosos e o café da manhã estava bom.;A limpeza deixou a desejar e o hotel é um pouco antigo. Mas o custo-benefício é bom e o hotel é bem localizado;8;;;;;;
6 de fevereiro de 2025;Fantástico;;O hotel passou por problemas elétricos e não pude carregar meu carro eletrico durante a noite.;9;;;;;;
5 de fevereiro de 2025;Boa localização;Localização. Além dos mensageiros que nos ajudaram com a bagagem que foram bem solícitos, gentis e educados.;O hotel informa que há estacionamento, todavia os três dias em que ficamos hospedados, o carro ficou na rua. São em torno de 15 vagas de garagem para 80 quartos mais ou menos. Essa informação deveria constar na descrição do booking.;7;;;;;;
5 de fevereiro de 2025;Atendeu as expectativas;Educação dos funcionários e limpeza. Natália e Priscila muito prestativas .;;9;;;;;;
4 de fevereiro de 2025;Excelente;Hotel possui restaurante completo que funciona o dia inteiro, bom café da manhã, boa área da piscina e fica numa localização excelente.;O colchão da cama era muito mole, e o trânsito dos carrinhos no corredor dos quartos faz muito barulho por conta do piso;9;;;;;;
2 de fevereiro de 2025;Bom custo benefício;Localização;Funcionários solicitos;8;;;;;;
1º de fevereiro de 2025;Vale a pena;Localização é bom café da manhã;Wi-Fi fraca e estacionamento muito limitado. Nunca consegui vaga. O carro ficava na rua;8;;;;;;
1º de fevereiro de 2025;Bom;.;.;7;;;;;;
1º de fevereiro de 2025;Fantástico;Quarto espaçoso, equipe muito atenciosa e excelente localização.;;9;;;;;;
31 de janeiro de 2025;Boa;Localização, Bom atendimento;Instalações no quarto, restaurante;8;;;;;;
31 de janeiro de 2025;Muito bom;Cama muito confortável. Café da manhã ok. Funcionários da recepção super atenciosos.;Estacionamento bem bagunçado, cheio de tranqueiras. Piscina nada convidativa..;8;;;;;;
30 de janeiro de 2025;Bom;Funcionários atenciosos;Reservei um quarto de uma cama de casal com duas de solteiro e chegando lá só tinha uma cama de casal ,tentaram colocar as camas de solteiro mas só coube uma e ficou muito apertado.;7;;;;;;
30 de janeiro de 2025;Estadia boa e confortável para o custo-benefício que o hotel oferece. Indico!;Café da manhã muito saboroso, com diversidade de comida grande . Colaboradores da Recepção muito bem treinados, solícitos e aptos para dicas ao redor do hotel.;A acústica do quarto é bem fraca. Consegue tranquilamente escutar os barulhos do corredor, principalmente quando esta andando com a mala, pois tem um trecho que não é piso liso.;8;;;;;;
27 de janeiro de 2025;Muito bom;O hotel é bem localizado, os funcionários educados e prestativos, café da manhã e instalações muito boas.;As toalhas precisam melhorar um pouco, não estavam macias, aparentavam ser velhas, não eram mais macias.;8;;;;;;
27 de janeiro de 2025;Razoável;Da localização;Do quarto;7;;;;;;
26 de janeiro de 2025;Normal;Recepção;Quarto;7;;;;;;
24 de janeiro de 2025;Para uma estadia rápida o hotel atende totalmente às necessidades, quartos quádruplos bem grandes.;O café da manhã é razoável, mas achei confusa a organização da reposição dos itens, e a área externa tb poderia ser climatizada (fechada por portas de vidro). Mas o atendentes são muito simpáticos e prestativos.;;8;;;;;;
24 de janeiro de 2025;Boa;Quarto amplo, localização razoavel;Estacionamento caro e apertado, hotel precisando de reforma.;8;;;;;;
23 de janeiro de 2025;Fui muito bem atendido , recepção maravilhosa;Recepeção, equipe ótima ( Pricila, o senhor manobreiro e etc);Manutenção e acabamento do apartamento ( partes que não receberam o devido trato do tempo);7;;;;;;
23 de janeiro de 2025;Muito bom;Boa localização, café da manhã bom, funcionários Priscila e Natália muito educadas e atenciosas.;;8;;;;;;
20 de janeiro de 2025;Bom custo benefício para visitar meu filho em recife!;A recepção realmente com as meninas é muito boa! O café da manha gostei muito !;A piscina estava com cor estranha, aspecto de suja, o almoço da cozinha também não me agradou muito!;8;;;;;;
19 de janeiro de 2025;Bom;;Colchões e roupas de cama estão muito usados;7;;;;;;
19 de janeiro de 2025;Recomendo e voltaria;Ótima localização e café da manhã muito bom;Faltou um lixo no quarto, só tinha no banheiro e ficou lotado;9;;;;;;
19 de janeiro de 2025;Fantástico;Hotel confortável e com excelente localização.;;9;;;;;;
19 de janeiro de 2025;Maravilhosa;;A localização e o forte do hotel e os funcionários prestativos e educados.;8;;;;;;
17 de janeiro de 2025;Muito bom;Ficamos 1 diária. O atendimento foi fantástico desde o primeiro contato. Chegamos de madrugada e o atendente foi prestativo e simpático. Tivemos tbm contato com a funcionária Natália que se prontificou em ajudar a todo momento, além de muito simpática. ;;;;;;;;
;;;;;;;;;;
O café e almoço foram bons. E o quarto apesar de ser antigo;" estava limpo. Camas confortáveis.""";Se percebe que o hotel é antigo e em alguns lugares não causa uma boa impressão, como no restaurante que tinha pedaços de parede quebrados, na piscina que estava com uma espuma por cima, e no próprio quarto.;8;;;;;;;
15 de janeiro de 2025;Fantástico;Localização.;;9;;;;;;
14 de janeiro de 2025;Boa localização;Boa localização e limpeza;Demoraram muito para liberar o quarto;7;;;;;;
14 de janeiro de 2025;Super indico.;O café muito bom, bem servido. A localização ótima próximo da feirinha da Boa viagem, supermercado, restaurante, farmárcia. Recepcionista atenciosos, serviço de quarto bom. Além do quarto amplo e bem arrejado.;;;;;;;;
;;;;;;;;;;
Sugestão: instalar um varal Retrátil de Parede Secadora Invisível 5 Hastes no banheiro para as roupas de praia;" para não colocar sobre o box.""";;8;;;;;;;
13 de janeiro de 2025;Bom custo benefício.;Localização excelente. Funcionários extremamente cordiais.;Café da manhã com poucas opções. Alguns itens do quarto sem manutenção.;7;;;;;;
12 de janeiro de 2025;Muito bom;Localização e comodidades do condomínio, especialmente o restaurante, o mercado, academia e piscinas.;O apartamento é um pouco pequeno.;8;;;;;;
12 de janeiro de 2025;Bom;Localização, café da manhã.;A noite tinha alguns insetos na cama que dava coceira, não deixando a gente dormir. Até fiz um filme e bati fotos. Mostrei para a recepção. Precisa preparar melhor os quartos para os hóspedes.;7;;;;;;
11 de janeiro de 2025;Foi boa tirando contratempo do ar condicionado, os funcionários são excelentes 👏🏻👏🏻;Sim;Em relação ar condicionado estava pingando e hotel os quartos bem antigo;8;;;;;;
11 de janeiro de 2025;Boa estadia;Localização há poucos metros da praia e próximo ao aeroporto. Quarto amplo, camas confortáveis, bom chuveiro, ar condicionado, café da manhã variado, atendentes muito atenciosos.;Instalações antigas e poucos elevadores para o quantitativo de quartos e hóspedes.;7;;;;;;
9 de janeiro de 2025;Muito bom;Ótima localização , funcionários extremamente educados, fomos atendidas pela recepcionista Priscila que foi muito simpática , café da manhã ótimo.;Secador de cabelo do quarto não estava funcionando, mas disponibilizaram um pra pegar na recepção;8;;;;;;
8 de janeiro de 2025;Fantástico;Boa localizacao: proximo a praia, supermercados, feirinha e opções gastronômicas. As instalações desde quarto, pscina e recepção. , Café da manhã variado e delicioso., Um ótimo atendimento de todos os funcionários.;;9;;;;;;
7 de janeiro de 2025;Fantástico;Localização;Estacionamento rotativo com necessidade de estacionar na rua se não tiver vaga;9;;;;;;
6 de janeiro de 2025;Muito bom;Localização;As instalações do banheiro não estavam boas,pia estava pingando e a porta está bem desgastada;8;;;;;;
5 de janeiro de 2025;Boa;Quarto amplo e localização ótima ;;;;;;;;
"Atendimento check in pelo Renan mto bom e Natália da recepção""";Café da manhã fraco e tumultuado ;;;;;;;;;
"Elevador demorado""";7;;;;;;;;;
3 de janeiro de 2025;Há melhores pelo preço cobrado;a localização era bem boa;o custo beneficio pro que oferece tem hospedagens melhores. O quarto simples e as camas pouco confortáveis, assim como a disposição das camas. O café da manhã se vc pega no inicio do serviço ok, mas se vc for durante o horario é meio confuso, bagunçado e demorada a reposição.;;;;;;;
"o check in foi demorado pois haviam liberado minha acomodação/reserva pra outro hospede.""";7;;;;;;;;;
2 de janeiro de 2025;Satisfatório, porém com sugestões de melhorias.;Ótima localização. Funcionários muito solícitos. Excelente café da manhã.;Escolhemos esse hotel por conhecer a rede El Aram em Natal e João Pessoa, porém a unidade de Recife deixou a desejar. A roupa de cama e travesseiros precisam de mais cuidado quanto a troca periódica do enxoval, pois todos estavam manchados e amarelados. Toalhas ásperas. Mobília do quarto antiga, precisando muito modernizar. Foi bem impactante em relação às outras unidades que já conhecemos. Sugiro investir melhor na roupa de cama e decoração do quarto.;7;;;;;;
31 de dezembro de 2024;Boa opção;Café da manhã, localização, quarto espaçoso para três pessoas.;Falta de vagas no estacionamento.;8;;;;;;
29 de dezembro de 2024;Bom;Localização;Tudo muito velho;7;;;;;;
29 de dezembro de 2024;Bom;Localização boa.;O café da manhã tinha muita gente e não consegui lugar para sentar.;7;;;;;;
29 de dezembro de 2024;Voltaria a me hospedar neste mesmo hotel se voltar a Recife.;Localização, café da manhã farto, conforto do quarto;Estacionamento pequeno, tive que deixar o carro dormir na rua.;9;;;;;;
28 de dezembro de 2024;Fantástico;Do hotel no geral, limpeza e recepção.;;9;;;;;;
28 de dezembro de 2024;Ótimo para quem quer ficar próximo ao aeroporto e a praia;Localização excelente, o atendimento foi muito bom.;O banheiro, porta não tranca, área do chuveiro pequena. Falta cuidado na limpeza.;9;;;;;;
28 de dezembro de 2024;Boa localização;Localização é ótima próximo a tudo;;;;;;;;
"O café da manhã é bem servido e variado""";O quarto antigo ;;;;;;;;;
"Precisando de uma manutenção no banheiro urgente tornando melhor""";8;;;;;;;;;
27 de dezembro de 2024;Muito bom;Os funcionários tds nota 10, a localização o café da manhã;Os móveis do quarto são antigos precisa trocar;8;;;;;;
