data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
10 de novembro de 2022;Hotel muito confortável, com equipe espetacular;Acomodação nova, com equipe excelente e super cordial;nada;10;;;;
27 de março de 2025;Maravilhoso!;O Hotel é ótimo, super bem localizado, cama confortável, chuveiro forte. Café da manhã excelente, servido de maneira bonita, que enche os olhos. Voltaria sem pestanejar!;;10;;;;
27 de março de 2025;Ótimo hotel em Boa Viagem, Recife;Todos os funcionários são muito educados e atenciosos. A limpeza diária dos quartos foi muito boa também. ;;;;;;
;;;;;;;;
"Sugerimos apenas ajustar o ar condicionado. Ele fica muito frio com 26 graus e com 27 graus esquenta demais. Não tem um meio termo.""";;10;;;;;;
24 de março de 2025;Atendeu minhas expectativas.;Ótimo café da manhã. Ótima localização.;;8;;;;
23 de março de 2025;Bom.;Ambiente.;Nada.;9;;;;
22 de março de 2025;Foi ótimo;Tudo muito limpo, restaurante ótimo e pessoal da recepção excelente;Preço do café da manhã? Achei caro;10;;;;
22 de março de 2025;Excepcional;Atendimento por parte de toda a equipe e ótimo café da manhã.;;10;;;;
21 de março de 2025;Excepcional;Hotel limpo, organizado, muito bem localizado. Quarto espaçoso e muito bem cuidado. Funcionários sao todos muito atenciosos. É uma ótima opção de estadia;Nada;10;;;;
20 de março de 2025;Bom atendimento e acomodação.;Cama principalmente, chuveiro, e tamanho do quarto, e banheiro.;;;;;;
"Obs: deveria haver bolos e pães sem glúten e sem leite.""";Cama;10;;;;;;
19 de março de 2025;Excelente;Já nos hospedamos várias vezes quando não tinha o restaurante e o café era servido no quarto e já estava muito bom. ;;;;;;
Agora está ainda melhor com esse restaurante bom e bonito. ;;;;;;;;
"Ótimo custo benefício !""";;10;;;;;;
19 de março de 2025;Funcionários sempre muito prestativos;Do tamanho da cama e do bolo de rolo de presente;Os travesseiros poderiam ser mais novos;10;;;;
