data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;
8 de setembro de 2023;Excepcional;Apesar dos comentários falando dos quartos mofados, o meu estava limpo, conservado, a cama muito boa, tudo perfeito!;Houve um desencontro no check-in. A informação da reserva não estava ainda no sistema da recepção. Seria importante melhorarem essa comunicação entre reservar B2B e central, pois é constrangedor pro cliente a situação.;10;;;;;;;;;
27 de março de 2025;OTIMA;LOCALIZAÇÃ, PRESTEZA NO ATENDIMENTO E SEGURANÇA;SEM COMENTÁRIOS;9;;;;;;;;;
25 de março de 2025;Muito bom;Localização;Academia fechada;8;;;;;;;;;
19 de março de 2025;Muito bom;O mascote Xodo é uma atração a parte do hotel. Funcionários simpáticos e café da manhã excelente.;Banheiro estava com vazamento no box. Qdo tomava banho molhava o restante do banheiro.;;;;;;;;;;
Janela do quarto estragada; sem possibilidade de fechamento;" ocasionando possíveis riscos desnecessários..""";8;;;;;;;;;;
19 de março de 2025;Excelente;O hotel é muito bom e o café da manhã um dos melhores que eu já vi.;;9;;;;;;;;;
13 de março de 2025;Bom;Eu amei a localização e café da manhã;Tinha muitas infiltrações no quarto, inclusive toda noite eu chamava a limpeza porque tinha baratas no quarto.;7;;;;;;;;;
13 de março de 2025;Hospedagem superlativa escolha de ótimo bom gosto.;Conforto, limpeza e localização.;Banheiro do lounge muito sujo e parecia que estava em reforma.;9;;;;;;;;;
11 de março de 2025;Custo-beneficio.;Localização, café da manhã.;Hotel antigo, precisando de reparos. Mas já em obra.;9;;;;;;;;;
10 de março de 2025;Uma boa escolha em Boa Viagem;Da localização,;;;;;;;;;;;
Do Xodó e dos funcionários.;;;;;;;;;;;;;
"O café da manhã também era muito bom.""";Precisa de uma reforma no sistema de ar condicionado, o do nosso quarto desarmou duas vezes.;8;;;;;;;;;;;
10 de março de 2025;Muito bom;VISTA DA PRAIAS;Clareza nos procedimentos e valores.;8;;;;;;;;;
10 de março de 2025;Excelente localização. Preço justo.;Hotel bem localizado e perto de tudo. Café da manhã muito gostoso.;Os elevadores estavam com problemas e se estiver no andar inferior, vai levar uns 10 minutos só para conseguir subir. Devido a falta de elevadores, as pessoas que vinham da praia se misturavam no mesmo elevador, causando um desconforto com super lotação de pessoas molhadas.;8;;;;;;;;;
9 de março de 2025;Muito bom;Localização;Banheiro;8;;;;;;;;;
