data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;
27 de fevereiro de 2023;Retornarei mais vezes.;Acolhimento, conforto, praticidade,;Wi-Fi;10;;;;;
28 de março de 2025;Pouco satisfatória;Falta conforto nos colchões e travesseiro;;;;;;;
27 de março de 2025;Bom para curto período;Local bom para uma ou duas noites. Mais que isso o quarto não é tão confortável (cama).;;8;;;;;
24 de março de 2025;Muito bom;próximo da praia;não tem acesso a praia;8;;;;;
14 de março de 2025;Satisfatória;Limpeza;Burocracia desnecessária no check-in, nunca vi em nenhum hotel solicitarem o cartão de crédito para verificarem se de fato o cartão era meu, que escroto isto, nunca vi isto!;9;;;;;
11 de março de 2025;Bom;Funcionários muito educados e alegres.;Peguei esse hotel pois precisava passar a noite e estava bem avaliado em relação à limpeza (isso eh o primordial pra mim). Infelizmente tinha vários sinais de que não havia sido muito bem limpo. As fotos me atraíram muito. Chegando lá a aparência é diferente das fotos. O hotel parece ser antigo, então as instalações estão com aparência defasada. Cama afundando no meio e etc.;7;;;;;
5 de março de 2025;Fantástico;Execelente atendimento na recepção. Tiraram dúvidas e informaram sobre locais ao redor;O banheiro poderia ser melhor cuidado, parece velho em comparação ao quarto;9;;;;;
24 de fevereiro de 2025;Muito bom;Localização! Tem fácil acesso e é bem na frente da praia, só atravessar a rua (porém, não da para tomar banho). Tem uma beira-mar excelente. Fomos bem atendidos e conseguimos adiantar o check-in tb :);;;;;;;
Quarto estava limpo;" ar condicionado funcionando bem :)""";Café da manhã é ok! Podia ter uma tapioca, um bolo mais típico da região, algo assim. Um dia tinha banana, outro dia já não tinha. Mas no geral atende o que propõe. ;;;;;;;
As toalhas são bem antigas;" Já nem são mais brancas :( poderiam renovar.""";8;;;;;;;
17 de fevereiro de 2025;Boa opção de hospedagem na Praia de Piedade.;O hotel tem uma boa apresentação. O quarto é confortável e tem tamanho bem satisfatório. A cama é confortável. Café da manhã com muitas opções. O hotel fica bem próximo à praia, embora não seja recomendado o banho naquela área devido aos tubarões. Não há estacionamento disponível, mas têm muitas vagas grátis nas ruas próximas.;O hotel fica distante do centro de Recife e das atrações da cidade.;8;;;;;
16 de fevereiro de 2025;Gostamos , limpeza e café da manhã bom;Limpeza, café da manhã e localização;O tamanho da cama de casal de 1,40;8;;;;;
12 de fevereiro de 2025;Bom;Localização.;Atendimento péssimo.;7;;;;;
7 de fevereiro de 2025;REGULAR;Do esforço dos funcionários e da variedade do cafe da manhã;Quarto apertado, banheiro pequeno e mobiliario antigo, toalhas de banho de baixa qualidade.;8;;;;;
4 de fevereiro de 2025;NBa minha próximo ida a RECIFE, com certeza que eu voltarei a me hospedar;Bem localizado, de fácil acesso além de bastante confortável............. Dispões de um exelente café da manhã em um local muito tranquilo e aprazível..................;Não possui estacionamento fechado e as vagas disponíveis são em pouca quantidade;8;;;;;
31 de janeiro de 2025;Muito bom;;Meu marido queixou-se apenas que o colchão não era tão firme.;;;;;;
No mais;" gostou muito da hospedagem.""";8;;;;;;;
29 de janeiro de 2025;Sempre um ótimo custo benefício;Localização;;8;;;;;
24 de janeiro de 2025;Muito boa. Recomendo!;A acomodação é bem aconchegante e limpa, com ótima localização.;Não há bebedouro disponível. Mesmo com a venda de água no hotel, acredito que seria mais agradável para os hóspedes se fosse fornecido um bebedouro.;9;;;;;
23 de janeiro de 2025;O hotel tem um bom custo benefício e fiquei satisfeito, inclusive retornei posteriormente.;A localização do restaurante e onde é servido o café da manhã, com vista para o mar é ótima.;A receptividade por parte dos funcionários poderia ser um pouco melhor;;;;;;
21 de janeiro de 2025;Pouco satisfeito;Um pouco a localização;Foram vários, mas nada comprometedor;7;;;;;
20 de janeiro de 2025;Muito bom;Atendimento, café, conforto do quarto,;;;;;;;
"Limpeza""";Dificuldade com a internet, e o ar condicionado não gelava;8;;;;;;;
20 de janeiro de 2025;Hotel bom, localização ótima, perto do Aeroporto.;Café da manhã bom, localização muito boa. Conforto das camas. Banheiro completo.;O restaurante não funciona à noite, e vendem umas marmitas prontas, sem muitas opções na minha estadia, e nós mesmos temos que por no microondas na recepção e fornecem apenas talheres de plástico, sem pratos ou guardanapos.;8;;;;;
20 de janeiro de 2025;Muito bom;Do atendimento, da limpeza do apartamento e da presteza dos funcionários (as).;Do tamanho do banheiro: muito apertado.;8;;;;;
14 de janeiro de 2025;De frente a praia e funcionários atenciosos;Atenção funcionários ;;;;;;;
Limpeza;;;;;;;;;
"Variedade café da manhã""";Hotel um pouco antigo;;;;;;;;
"Toalhas limpas mas simples""";8;;;;;;;;
14 de janeiro de 2025;Funcionárias/os muito prestativos!;Cama bem confortável, quarto de tamanho razoável;No banheiro, Box e piso do box mais conservados seria melhor.;8;;;;;
13 de janeiro de 2025;Top;Muito bom;Tudo foi muito bom;9;;;;;
12 de janeiro de 2025;Tranquilo;Limpeza;Camas;7;;;;;
12 de janeiro de 2025;Top;Hotel muito bom;Praia não pode tomar banho (tubarão);9;;;;;
11 de janeiro de 2025;Bom hotel;Localização e atendimento;Barulho avenida com relação aos aptos de frente;8;;;;;
10 de janeiro de 2025;Razoável;Área do café da manhã muito bonita, frente para a praia.;A equipe não sabe informar sobre passeios, agências ou pontos turísticos.;7;;;;;
9 de janeiro de 2025;Muito boa;99% ok;;;;;;;
Pessoal extremamente receptivo ;;;;;;;;;
Boa localização ;;;;;;;;;
"Quase nem tinha oque falar na verdade""";Mais aquele 1% kkkkkk ;;;;;;;;
Café da manha para quem fica mais de um dia se torna enjoativo ;;;;;;;;;
Faltou um pao de queijo;" suco de laranja e etc""";9;;;;;;;
8 de janeiro de 2025;Bom;O quarto estava bem limpo quando chegamos, o quarto é amplo e confortável, possui uma tv smart, ar condicionado, frigobar, cofre, armário e uma mesa com duas cadeiras. O banheiro tem água quente e fria. Os funcionários são bem educados e solícitos, o café da manhã não tem muitas opções, porém as que tem dar pra satisfazer, precisei pedir os dois dias que fiquei para repor algumas coisas como ovo, molho de salsicha, que as 9h da manhã as bandejas já estavam vazias, mas foi reposto quando solicitado.;;7;;;;;
8 de janeiro de 2025;Bom;Localização;;7;;;;;
7 de janeiro de 2025;Muito bom;Equipe atenciosa e prestativa;;;;;;;
Bem próximo da praia; apesar de não ser uma praia adequada para banho;" para caminhada é ótimo.""";Faltou cuscuz e tapioca no café da manhã rsrs;;;;;;
"Limpeza do banheiro pode melhorar""";8;;;;;;;;
6 de janeiro de 2025;Fantástico;;De não poder usar a praia. E isso não está em comunicado quando faz a reserva.;9;;;;;
30 de dezembro de 2024;Muito bom;Prático. Próximo ao Aeroporto. Equipe de atendimento solícita. Limpeza apropriada.;;8;;;;;
28 de dezembro de 2024;Bom custo-benefício;Da localização e tamanho do apto, com vista mar. E tem uma escrivaninha no apto. Na 2. estadia (encerrei a estadia, mas tive que retornar), fui bem atendida pela gerência e a funcionária do balcão. Os preços de refrigerantes, água e cervejas são bem acessíveis.;O hotel preencheu minhas expectativas face ao custo benefício. Tenho apenas que apontar pontos de melhoria:;;;;;;
1. a Internet - impossível trabalhar; estudar e ver filmes; oscila muito e cai inúmeras vezes; usei meus dados para isso.;;;;;;
2. O café da manhã encerra às 9:30h e cheguei às 9:00h e não havia reposição dos alimentos que terminavam no buffet.;;;;;;;;;
3. Falta de informação no check-in ( por ex. eu não sabia do horário do café);;;;;;;;;
4. Nem todas as TVs são smart.;;;;;;;;;
5. O restaurante tem uma localização privilegiada; frente ao mar; mas fica fechado à noite. Algumas pessoas poderiam tomar um drink à noite; mesmo que tivessem que pegar os itens na portaria.;;;;;;
Nada que não possa ser corrigido nos pontos acima. E devo dizer que estes pontos - com exceção da Internet - ;" não me impedirão de retornar ao Hotel.""";7;;;;;;;
26 de dezembro de 2024;Excelente!;Funcionários super atenciosos.;Para ficar melhor só precisa de uma área de lazer . Mas de resto amei tudo!!!;9;;;;;
26 de dezembro de 2024;Falta de respeito;Localização, café da manhã;Atendimento do recepcionista.;;;;;;
Reservei um quarto com cama de casal e na hora do check-in o atendente informou que só tinha quarto com cama de solteiro..;;;;;;;;;
Quando realizei a reserva pelo app eu coloquei opção de cama de casal.;;;;;;;;;
Não faz sentido eu com meu namorado dormir em cama de solteiro.;;;;;;;;;
;;;;;;;;;
"O ar-condicionado não gelava ai tivemos que trocar de quarto. Conseguiram um quarto para casal.""";7;;;;;;;;
23 de dezembro de 2024;Excelente local do café da manhã;Aproximação da praia;Não poder entrar no Mar;9;;;;;
16 de dezembro de 2024;Bom;Acomodação ok tudo funcionando;O café da manhã, não tinha pão . Um item básico as opções eram fracas;7;;;;;
7 de dezembro de 2024;Muito bom;Localização boa, café muito bom, limpeza do hotel muito bom, atendimento maravilhoso.;O tamanho do quarto que fiquei e senti falta de uma piscina com um barzinho no hotel.;8;;;;;
5 de dezembro de 2024;Muito bom;A localização é muito boa, o café da manhã é razoável, a vista do quarto é excelente fica num trexo muito tranquilo da praia.;não tem garatem.;8;;;;;
2 de dezembro de 2024;Fantástico;Beira mar em local pouco agitado.;;9;;;;;
29 de novembro de 2024;ATENDEU A EXPECTATIVA;LOCALIZAÇÃO, LIMPEZA, CAFÉ DA MANHA, QUARTO;TUDO ESTAVA DENTRO DO ESPERADO;8;;;;;
27 de novembro de 2024;Estadia foi boa, foi agradável e nos atendeu bem nessa ocasião .;Localização mais próximo da orla e principal, Recepção aconchegante, Atendimento do recepcionista atencioso. Café da manhã Foi bom e o quarto estava limpo;O banheiro do apartamento 105 tem um retorno de mau cheiro e está sempre Passando para o quarto, O apartamento era um pouco pequeno para três pessoas, Não tem estacionamento interno E para quem chega tarde se não tiver na frente nas redondezas é um pouco deserto e perigoso, É necessário deixar o carro no meio da rua e arriscar na volta pro apartamento;9;;;;;
27 de novembro de 2024;Muito bom;Funcionários fantásticos, café da manhã bom, quartos confortáveis e limpos.;localização, pouquissimas opções ao redor para quem gosta de não depender de transporte;8;;;;;
26 de novembro de 2024;Excelente custo benefício;O café da manhã foi ótimo. A cama confortável. O atendimento dos funcionários foi excelente.;As toalhas eram muito velhas.;8;;;;;
19 de novembro de 2024;Excelente;Café da manhã superou as expectativas. Equipe bem comunicativa.;Nada a declarar.;9;;;;;
18 de novembro de 2024;RECOMENDO;Atenção dos funcionários foi excelente;Acho que deveria vender refeições no próprio hotel.tem uma area enorme para refeição porém o hotel não ofereci.;8;;;;;
13 de novembro de 2024;Voltaria;Funciona;Nao poder usar a area na beira mar de dia pois me falaram que era d o restaurante e o mesmo e fechado;8;;;;;
24 de outubro de 2024;Bom;localização;custo benefício e café da manhã;7;;;;;
24 de outubro de 2024;Muito bom;Localização;;8;;;;;
24 de outubro de 2024;Muito bom;A localização e o quarto são muito confortáveis, café da manhã muito bom e ótimo atendimento dos funcionários.;A TV do quarto não conectava a nenhuma Wi-Fi, nem mesmo com o meu próprio dados móveis. Tive que espelhar a tela do celular.;8;;;;;
20 de outubro de 2024;Bom;Ser em frente a praia.;;7;;;;;
20 de outubro de 2024;Otima localização mas pouco a desejar em algumas coisas;Variedade de comida no café da manhã.;Cama pouco desconfortável, ar condicionado no quarto mal posicionado pois gelava apenas um lado do quarto.;9;;;;;
18 de outubro de 2024;Boa;Tudo razoável;Tudo razoável;8;;;;;
8 de outubro de 2024;Fantástico;Quarto com vista para o mar e bem espaçoso com itens básicos excelentes para trabalhar algumas horas. Cama confortável e ar condicionado muito bom. Café da manhã tradicional;Ralo do box do chuveiro demorava muito para descer a água.;9;;;;;
28 de setembro de 2024;Atendeu as minhas necessidades, mas não voltaria lá novamente.;Tamanho do apartamento;Atendimento dos funcionários. Eles não atenderam mal, mas como estou acostumada a um melhor acolhimento em outros hotéis, senti falta.;7;;;;;
28 de setembro de 2024;Muito bom;funcionários atenciosos. localização boa, de frente pra praia e próxima do aeroporto. café da manhã excelente e com vista pra praia.;o piso do quarto tinha terra e um ralo exalava cheiro forte.;8;;;;;
17 de setembro de 2024;Muito bom;Hotel com limpeza inquestionável, colaboradores prestativo.;;8;;;;;
19 de agosto de 2024;Gostaria de ter oferta de passeio turístico;Camas;Não tinha sabonete no banheiro;8;;;;;
4 de agosto de 2024;razoável;funcionários atenciosos;;;;;;;
café da manhã ;;;;;;;;;
"conforto""";praia ;;;;;;;;
estacionamento;;;;;;;;;
"atrações noturnas""";8;;;;;;;;
2 de agosto de 2024;Muit bom.;Localização e atendimento. Muito conveniente para meu propósito.;O box do chuveiro estava entupido. O primeiro quarto que fui estava com goteira embaixo do vaso sanitário. Trocaram para o quarto ao lado, porém ao usar o chuveiro percebi que a água não escoava numa vazão normal. Como já estava tarde e cansado, decidi não pontuar esse problema.;7;;;;;
13 de julho de 2024;Me hospedaria novamente;Hotel familiar, limpo e agradável. Fiquei apenas 2 noites em família, para um embarque, próximo ao aeroporto ( 15 minutos) ;;;;;;;
De frente à praia com vista linda no café da manhã ;;;;;;;;;
Quartos silenciosos; não muito espaçosos mas o necessário para as noites que me hospedei. ;;;;;;;;
Fácil comunicação com os funcionários ;;;;;;;;;
Hotel com aspecto e cheiro de limpeza constante ;;;;;;;;;
Atenciosos roupa de cama e banho de boa qualidade ;;;;;;;;;
;;;;;;;;;
Café da manhã com várias opções de alimentos e bebidas;" compatível com hotel 3 estrelas e suficiente para um desjejum""";Chuveiro não esquentou no segundo dia e não resolveram ;;;;;;;
Travesseiro está precisando trocar ;;;;;;;;;
Falta estacionamento; embora a rua seja tranquila para estacionar;" se o carro estiver carregado gera preocupação.""";8;;;;;;
12 de julho de 2024;Fantástico;Quarto limpo, café da manhã bem gostoso e diversificado. Recomendo;;9;;;;;
1º de julho de 2024;Muito bom;Quarto e banheiro espaçoso , o local é super limpo , café da manhã bom.;Da localização pois no booking diz que fica perto da praia de boa viagem mais fica perto da praia de piedade!;8;;;;;
1º de julho de 2024;Fantástico;Da limpeza e localização;O Hotel não possui estacionamento;9;;;;;
17 de junho de 2024;Fantástico;Funcionários atenciosos, tudo limpo.;;9;;;;;
2 de junho de 2024;Bom;A localização é boa, relativamente próxima ao aeroporto, fica na beira mar. Bom para ficar por uma noite.;Não tem toalha de rosto/mão. As camas não são confortáveis, mas para uma noite, dá pra dormir. O ar condicionado ficou pingando já pela manhã.;7;;;;;
19 de maio de 2024;Boa!;Quarto espaçoso, cama confortável, bem localizado. Café da manhã bom.;;7;;;;;
18 de maio de 2024;Bom;Café da manhã e localização;Cama muito ruim e chuveiro não tinha água quente;7;;;;;
13 de maio de 2024;Há como melhorar.;Da proximidade em relação a meus compromissos.;O café da manhã poderia ser melhor. Não achei shampoo, toalha de rosto, nem sabonete no aposento.;8;;;;;
26 de abril de 2024;Muito bom;Localização e estacionamento gratuito;;8;;;;;
21 de abril de 2024;Boa;;Café da manhã;7;;;;;
27 de março de 2024;Habitual hospedagem no Recife;Atendimento e localização;Nada a reclamar;8;;;;;
25 de março de 2024;Boa !;Limpo, organizado;Estacionamento, precisa melhorar, são poucas vagas;9;;;;;
23 de março de 2024;Bom;Localização;Café da manhã fraco e não tinha leite.;7;;;;;
23 de março de 2024;Vale para uma noite;A atenção e carisma dos funcionários, proximidade do aeroporto;Café da manhã (o café em si é o local que não tem climatizadores e estava muito quente) e podem melhorar na limpeza e cuidado (porta quebrada, toalha desgastada e muito amarelada);9;;;;;
21 de março de 2024;Estadia razoável;Café da manhã;Não tem piscina.;;;;;;
Só tem café da manhã;" não oferece nem um lanche para a noite.""";7;;;;;;;
21 de março de 2024;Muito bom;Bom;Café da manhã;7;;;;;
21 de março de 2024;Bom;Vale super a pena o custo benidicio. Hotel bem localizado.;Achei inadmissível copos e colheres descartáveis no café da manhã do hotel. Penso qto desperdício, zero preocupação com o meio-ambiente.;7;;;;;
18 de março de 2024;Bom;Gostei do café da manhã, o quarto estava bom;Os funcionários pouco atenciosos e hotel longe de todo;7;;;;;
17 de março de 2024;A estadia foi confortável;Hotel confortável e com uma boa vista para o mar.;Peguei o final do café e já não tinha muita coisa, faltou repor.;7;;;;;
