data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
23 de dezembro de 2023;Excepcional;Atendimento excelente, estrutura adequada e ótima localização.;;10;;;;
26 de março de 2025;Razoável;Localização;Atendimento;6;;;;
24 de março de 2025;Bom;gostei da localidade fica muito perto da praia;cama quebrada chuveiro muito ruim ar-condicionado nem funcionava direito;7;;;;
23 de março de 2025;Muito bom!;boa localização.;Não estacionamento. Serviço importante para é de fora e viaja de carro.;8;;;;
19 de março de 2025;Otimo custo benefício e pra quem vai pegar um vôo;Proximidade do aeroporto e da feirinha de BV, colchão bom, frigobar e tv novos, preço, otimo custo beneficio;Ar condicionado de parede barulhento;7;;;;
13 de março de 2025;Paguei R$ 450,00 a diária. Não vale a pena. Se a diária fosse até 200 seria 100% satisfação.;Café da manhã muito bom. Ambiente da recepção e do restaurante super agradável.;O Quarto é antigo e muito simples. Não passa percepção de qualidade, como os outros ambientes do hotel. Não tem estacionamento, precisa pagar R$ 30,00 a diária no estacionamento vizinho ao hotel.;6;;;;
12 de março de 2025;No geral foi uma boa estadia.;Localização excelente.;A limpeza do banheiro não é caprichada, e o ar condicionado tem ruído alto.;6;;;;
6 de março de 2025;Satisfatório;;Cama desconfortável;6;;;;
28 de fevereiro de 2025;Razoável;Atendimento é espaço do quarto bem amplo.;Limpeza;6;;;;
22 de fevereiro de 2025;Muito boa;As camas;;8;;;;
21 de fevereiro de 2025;Muito bom;Me sinto bem nesse local ,só não ter estacionamento que atenda todos que acho ruim.no ;;;;;;
"Demais dentro do esperado""";Idem;8;;;;;;
21 de fevereiro de 2025;Bom;Café da manhã;Não tem garagem;7;;;;
21 de fevereiro de 2025;Bom;Café da manhã;Não tem garagem;7;;;;
20 de fevereiro de 2025;Ótima estadia;Atendimento excelente.;Ótima localização;8;;;;
17 de fevereiro de 2025;Bom custo benefício.;A localização é excelente, por estar próximo do aeroporto e da praia. A infraestrutura aos redores é excelente, com drogarias, restaurantes e supermercados.;O banheiro do apartamento estava com a tampa do vaso quebrada. No geral, o apartamento é simples. Como fiquei somente uma noite, foi uma estadia satisfatória.;6;;;;
16 de fevereiro de 2025;Excelente custo x benefício em Boa Viagem;Café simples mas completo, o quarto atendeu as necessidades e a localização é ótima!;Instalações são bem antigas;8;;;;
16 de fevereiro de 2025;Vale o custo benefício.;Localização, café da manhã e staff muito agradável, especialmente a Elba e o Sr Valdir!;Alguns quartos precisam de manutenção/reforma;6;;;;
16 de fevereiro de 2025;Boa localização, bom preço, porém a acomodação é antiga;Ótima localização, bons funcionários. Custo benefício ok.;Limpeza a desejar, azulejos mal limpos, geladeira enferrujada., ar condicionado bem antigo.;7;;;;
14 de fevereiro de 2025;Para uma noite de passagem pela cidade atendeu ao nosso objetivo que era descansar.;O atendimento do pessoal, muito simpáticos;O banheiro não estava muito bom as instalações.;7;;;;
9 de fevereiro de 2025;Satisfatório;;Sem estacionamento, em uma via super movimentada pra quem não é da cidade e estiver indo de carro não é recomendável, o estacionamento mais próximo é de andar, você tem que descer com as malas pela rampa.;6;;;;
8 de fevereiro de 2025;Uma critica,construtiva;Localização , atendimento e o café da manhã!;Um Sabonete, pro casal , tornería da pía no banheiro froxa, coisa fácil de ser resolvido.;8;;;;
6 de fevereiro de 2025;Como foi apenas um pernoite , foi aceitável;Preço;Café da manhã precisa melhorar , não tem estacionamento;6;;;;
6 de fevereiro de 2025;Otimo e econômico;Gostei muito dos quartos e do cafe da manhã;Só teve um problema com o chuveiro que foi logo solucionado mudando de quarto;8;;;;
31 de janeiro de 2025;boa.;Localização, ambiente, limpeza.;Deixei a reserva paga, e quando cheguei para fazer o check in não constava como pago.;8;;;;
26 de janeiro de 2025;Satisfatório;Localização.;No agendamento dizia que tinha estacionamento, mas não possuí.;;;;;
;;;;;;;;
No quanto tinha um aviso que o café da manhã era das 7h às 10h;" mas o horário correto era das 6h às 9h. Fiquei sem tomar café.""";6;;;;;;
21 de janeiro de 2025;Bom;Localização e o atendimento;Do banheiro;7;;;;
21 de janeiro de 2025;Para hospedagem sem estacionamento;A localização é ótima. Bem central e próximo a praia .;O estacionamento é rotativo ( não vi onde estava escrito ) , mas pelo menos tem o Hospital ao lado que por 30,00 pode deixar o carro por 24h . O transtorno foi o despreparo e a falta de empatia na funcionária em dar alguma sugestão . O atendimento também não foi o ponto alto.;7;;;;
20 de janeiro de 2025;Hotel Boa viagem;Custo /benefício. Localização perfeita, próxima a feira de artesanato de boa viagem, pelo dia sark diversos passeios , e a noite a feira funciona como opção de lanches, artesanatos para lembranças,e também as vezes música ao vivo . O hotel Fica ao lado de farmácias, bancos, principalmente O Banco do Brasil, padarias, sorveterias. É bem pertinho da orla da praia de boa viagem. O shopping e o aeroporto também ficam bem próximos.;O Café da manhã tem poucas opções, sendo O refeitório pequeno para o tamanho do hotel. Principalmente em período de verão, que lota.;8;;;;
19 de janeiro de 2025;Bom custo benefício;Apesar de ser um hotel já antigo!;;;;;;
"Achei bom o custo benefício""";Ainda ter nos apartamentos ar condicionado de janela;8;;;;;;
18 de janeiro de 2025;Funcional;Localização e custo benefício;O banheiro exala um mal cheiro do esgoto;8;;;;
16 de janeiro de 2025;Satisfatório;Muito perto do aeroporto.;Apesar de ser uma hospedagem de custo beneficio, poderia ter mais cuidado com as roupas de cama. Bem como, poderiam melhorar o café da manha, com mais opções de qualidade. Ar condicionado muito antigo e não gela e faz muito barulho;6;;;;
16 de janeiro de 2025;Razoável, não consegui dormir bem por conta do ar condicionado barulhento;Localização e o café da manhã;Do ar condicionado muito barulhento e do chuveiro também todo desregulado;7;;;;
15 de janeiro de 2025;Boa;Pessoal da equipe muito atenciosa e educada.;Há algum problema na encenação do banheiro. Sempre que abre o registro de água da ducha ou da pia a água vem com um cheio de esgoto. Fui escovar os dentes e o gosto da água estava igual ao cheiro, precisei usar água mineral. O resto foi tudo muito bom;8;;;;
14 de janeiro de 2025;Bom;Cama muito confortável ;;;;;;
"TV a cabo""";;7;;;;;;
13 de janeiro de 2025;Satisfatório;Funcionários atenciosos, principalmente o rapaz que estava no meu check-in.... ótima localização, custo benefício satisfatório.....;Observei que no café-da-manhã, só tinha uma moça dando suporte e mesmo com todo empenho dela, algumas coisas ficaram a desejar, sugiro colocar mais uma pessoa neste horário para ajudá-la na limpeza das mesas, bem como na reposição das comidas etc.....;8;;;;
11 de janeiro de 2025;Satisfatório;Fica perto da pracinha, o café da manhã e bem servido e os funcionários bem gentins.;O quarto de casal não tinha cama de casal, eram duas camas de solteiro unidas, durante o sono os colchões ficavam afastando causando desconforto.;6;;;;
9 de janeiro de 2025;Muito bom;Hotel bem localizado!;;8;;;;
8 de janeiro de 2025;otima;equipe simpática e disponível, acomodação em bom estado, localização excelente, ;;;;;;
"observação: falta equipe no café da manhã""";;7;;;;;;
7 de janeiro de 2025;Satisfatório;O atendimento é sem dúvidas um dos melhores do Recife. As recepcionistas foram muito simpáticas e prestativas. Parabéns a todos!;;6;;;;
