data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
15 de agosto de 2023;Excepcional;Restaurante e bar em pleno funcionamento;;10;;;;;;
31 de março de 2025;Bom;Muiito barulho pela manhã;;7;;;;;;
24 de março de 2025;Hotel organizado e limpo, vale a pena o custo-benefício.;Limpeza, infraestrutura e organização.;O quarto triplo poderia ser maior.;9;;;;;;
22 de março de 2025;Fantástico;Equipe de atendimento super educada;Cama e travesseiros;9;;;;;;
14 de março de 2025;Satisfatória com alguns inconvenientes;As acomodações;Barulho no corredor de madrugada ;;;;;;;
Batidas de portas;;;;;;;;;;
"Reclamei na recepção pela manhã e não foram tomadas providências""";7;;;;;;;;;
11 de março de 2025;Carnaval 2025;O café da manhã tem tudo que é de costume na mesa de casa. Fica disponível até às 10h.;;;;;;;;
;;;;;;;;;;
Gostamos de saber que tem a opção de almoço ou lanche (das 14h às 22h) ;para quem não tem interesse em sair do hotel. Até às entregas de delivery são rápidas pela localização do hotel e muitas opções.;;;;;;;;;
;;;;;;;;;;
Hotel fica bem rápido do aeroporto ;;;;;;;;;;
Agora ; das barracas principais da praia de Boa Viagem; não fica tão perto para ir andando.;;;;;;;;
;;;;;;;;;;
Importante! fazer a conferência antecipada da estadia ;"se está tudo certo. Pode entrar em contato direto com o hotel para um desconto (a depender) se vale também a pena fora do Booking.""";Ter serviço de quarto;;;;;;;;
Informar na descrição do booking o serviço de almoço e lanche.;;;;;;;;;;
Ter uma farmácia vinculada com conveniência (sugestão);;;;;;;;;;
"Ter orientações dentro dos elevadores dos quartos com andares.""";8;;;;;;;;;
10 de março de 2025;Bom;;Quarto muito pequeno, banheiro deixou a desejar na limpeza, mofo nas paredes, limo....;7;;;;;;
6 de março de 2025;Bom;Localização boa e equipe muito simpática.;Café da manhã com poucas opções.;7;;;;;;
6 de março de 2025;Bom;;Cama desconfortável e café da manhã;7;;;;;;
5 de março de 2025;Boa;bom;O ar condicionado não funcionava direito;6;;;;;;
4 de março de 2025;Melhor custo beneficio;Localizacao;Colchao de mola;9;;;;;;
4 de março de 2025;Quebrou o galho por ter reservado de última hora;Cortina blackout e café da manhã incluso. Possui estacionamento apesar de rotativo.;Travesseiro bem duro, ausência de edredom, quarto extremamente pequeno para ser considerado triplo, banheiro sem exaustor, elevador muito lento para atender toda a demanda do hotel, local do café da manhã muito barulhento por ser pequeno para a quantidade de pessoas. Fui no carnaval, paguei mais que o triplo do preço normal.;7;;;;;;
3 de março de 2025;Fantástico;Limpeza do quarto e banheiro, cama confortável.;Café da manhã muito fraco, deveria melhorar nas opções.;9;;;;;;
2 de março de 2025;Muito bom;Quarto amplo;O café deveria ser até mais tarde em um dia de carnaval;8;;;;;;
27 de fevereiro de 2025;Valor da diária corresponde ao custo benefício.;Do atendimento da recepção. Funcionário super educado e prestativo.. passamos só a noite para dormir e pegar voo no outro dia logo cedo.;Quarto pequeno.;8;;;;;;
27 de fevereiro de 2025;Razoável;Simpatia dos funcionários e garagem gratuita.;Hall com cheiro forte de mofo e café da manhã muito simples, além dor muito ruim no banheiro.;6;;;;;;
24 de fevereiro de 2025;Bom;Da localização;Do quarto;7;;;;;;
23 de fevereiro de 2025;Bom;Localização, quartos bons com camas confortáveis, pessoal da limpeza muito prestativo;Café da manhã sem pão e com restrição de ovo. Quantidade pequena perto da quantidade de hóspedes e funcionária da cozinha mal humorada e com má vontade;8;;;;;;
21 de fevereiro de 2025;Muito bom;Chuveiro e cama ideais para um fds a trabalho.;Café da manhã bem fraco e sem opções.;8;;;;;;
19 de fevereiro de 2025;Fantástico;o hotel é bem localizado, próximo à praia de boa viagem e do aeroporto. Tem um quarto confortável, com ótimo chuveiro, e bom café da manhã.;Podia ter água no frigobar, sem precisar solicitar na recepção.;9;;;;;;
18 de fevereiro de 2025;Não entrega o que promete, mas tem potencial para melhorar bastante.;Localização e atendimento dos funcionários;Café da manhã, falta de limpeza no ar-condicionado, wi fi instável.;8;;;;;;
18 de fevereiro de 2025;Boa. Voltaria ✨;Hotel bom! Limpo e confortável. Ar condicionado e Wi-Fi são perfeitos!! Café da manhã é bem simples e sem muitas opções, mas é ok.;Únicos pontos negativos é o fato de só ter uma tomada no quarto e distante da cama (fica próximo a mesinha) e também o secador de cabelo que está disponível no quarto, mas não funciona.;8;;;;;;
18 de fevereiro de 2025;Muito bom;Localização;Limpeza;8;;;;;;
18 de fevereiro de 2025;Bom;;Café da manhã, poucas variedades;7;;;;;;
17 de fevereiro de 2025;Bom;A localização.;O café da manhã tem pouca variedade.;7;;;;;;
13 de fevereiro de 2025;Custo-benefício;Localização;O café da manhã é péssimo;7;;;;;;
5 de fevereiro de 2025;Boa .;Café da manhã.;Falta de ededrom e conversa incômoda na cozinha .;9;;;;;;
30 de janeiro de 2025;Fantástico;Do café da manhã.;Que não tem área de lazer.;9;;;;;;
30 de janeiro de 2025;Bom;A localização;Falta mais vagas de estacionamento;7;;;;;;
30 de janeiro de 2025;Confortável;Da localização perto de bons restaurantes e atendimento amigável e carinhoso das pessoas que nos recepcionou;O café da manhã reduzido;8;;;;;;
28 de janeiro de 2025;A hospedagem atendeu às nossas necessidades e é uma boa opção, mesmo com algumas ressalvas.;A localização é excelente, próxima à Praia de Boa Viagem. O café da manhã era de boa qualidade, o atendimento dos funcionários foi cortês, a cama bastante confortável, a TV com função smart atendeu às expectativas e o ar-condicionado funcionou adequadamente.;A limpeza do quarto pode ser melhora. Percebemos manchas nas paredes e nos móveis, o que comprometeu a impressão de cuidado com o ambiente. No banheiro, seria importante realizar uma limpeza mais detalhada no chuveiro e na ducha higiênica, que apresentavam aparência de sujeira. A torneira do chuveiro também estava danificada e precisava de manutenção. Além disso, o sabonete fornecido poderia ser de melhor qualidade.;8;;;;;;
26 de janeiro de 2025;Media;Muito simples, mas tudo limpo os funcionários pouco atenciosos;Atenção dos funcionários;8;;;;;;
24 de janeiro de 2025;Bom;;Recepcionista do hotel, mal educado e sem vontade de dá informções básicas.;7;;;;;;
23 de janeiro de 2025;Hotel ideal para curtas estadias;Da localização. Do café da manhã gostoso (apesar de ser muito simples). Da recepção muito bonita e confortável.;Não gostamos especificamente do quarto, que precisa de alguns reparos. As mantas que nos deram são super estreitas (parece uma manta dividida ao meio). A porta do banheiro danificada devido a umidade. O porta papel solto e caindo o tempo todo.;8;;;;;;
22 de janeiro de 2025;Bom custo-benefício;Fica na praia de Boa Viagem, a 1,5 km do aeroporto de Guararapes, a 500 da praia de Boa Viagem. Funcionários atendem bem. Bom café da manhã, que fica.no 9 andar. Bom sinal de wi fi. Sem barulhos de rua.;Amenidades melhores. Melhor manutenção para o banheiro.;7;;;;;;
17 de janeiro de 2025;Bom pra economizar.;Bem localizado;Limpeza;8;;;;;;
15 de janeiro de 2025;Muito bom;Café da manhã, localização;Barulho dos hóspedes nos corredores;8;;;;;;
15 de janeiro de 2025;Fantástico;Café da manhã muito bom e o silêncio do local;A cama é muito dura e unirão duas camas de solteiro, muito ruim, colchão bem velho já está na hora de realizar a troca.;;;;;;;
Chegamos no hotel um pouco cedo por conta de alteração de vôo;" umas 11 da manhã queria cobrar 250 só pra subir trocar de roupa sair achei um absurdo""";9;;;;;;;;
14 de janeiro de 2025;Fantástico;Conforto, limpeza, organização.;O café da manhã pode ser melhorado! A persiana não bloqueia a claridade de forma efetiva da janela, há entrada de luz que atrapalha a dormir.;9;;;;;;
12 de janeiro de 2025;Satisfatório;Valor;Primeiro fiquei em um quarto excelente, aí estava ocorrendo uma obra no andar de cima e me colocaram em outro quarto, precário, não tinha os mesmos recursos do anterior, barulho, portas emperrando, aí qdo os outros hóspedes chegavam ao abrir a porta fazia barulho, principalmente de madrugada.;6;;;;;;
11 de janeiro de 2025;Fantástico;Gostei das instalações os funcionários bem receptivos e educados. A limpeza dos quartos realizadas diariamente.;Café da manhã com poucas opções e sempre o mesmo. Para chegar na praia é uma caminhada longa.;9;;;;;;
9 de janeiro de 2025;Bom custo benefício;Localização, tem excelentes restaurantes próximo.;;9;;;;;;
4 de janeiro de 2025;Bom;Localização muito boa e funcionários prestativos;O café da manhã poderia ser mais variado.;7;;;;;;
3 de janeiro de 2025;Satisfatório;Boa localização;Cama pequena e travesseiro duro d+;6;;;;;;
2 de janeiro de 2025;Muito bom;;O quarto com cheiro de mofo, muita madeira;8;;;;;;
2 de janeiro de 2025;Agradável;Localização e limpeza impecável;O café da manhã muito simples;8;;;;;;
2 de janeiro de 2025;Fantástico;Ótimos funcionários, educados e atenciosos. Bom café da manhã. Quartos climatizados. Ótima localização.;;9;;;;;;
1º de janeiro de 2025;Muito bom;Localização do hotel.;Cama e travesseiros ruins.;8;;;;;;
1º de janeiro de 2025;No caminho para melhorar;Localização, café da manhã limpeza;Barulho;8;;;;;;
31 de dezembro de 2024;Nao recomendo;Da atenção dos funcionários, e chuveiro.;Local sujo, apertado, fedendo mofo, café da manhã bem meia boca, cama muito ruim..;6;;;;;;
21 de dezembro de 2024;Entrega de maneira modesta;Limpeza e conforto;Cafe da manhã ;;;;;;;
"Muito a desejar""";8;;;;;;;;;
19 de dezembro de 2024;Satisfatório;localização;mofo e ácaro nas instalações do quarto, cordialidade no atendimento;6;;;;;;
17 de dezembro de 2024;Fantástico;Quarto confortável, boa limpeza, café da manhã variado!;;9;;;;;;
16 de dezembro de 2024;Muito bom;Ter garagem;Nada a reclamar;8;;;;;;
10 de dezembro de 2024;Acolhimento em Recife;Local acolhedor. Ambiente limpo. Quarto pequeno, mas com tudo que é necessário para uma estadia confortável. Bem localizado.;O café da manhã podia ser mais caprichado…;8;;;;;;
10 de dezembro de 2024;Hotel bom e bem localizado;Boa localização, café da manhã gostoso, cama confortável e chuveiro bem forte. De lá dá para ir caminhando para a praia de Boa Viagem e para o mercado público onde se pode comprar presentes regionais.;Quarto pequeno. Barulho de obra enquanto eu estava hospedado. Ruas do entorno muito escuras à noite e com pouco movimento, mas não me aconteceu nada.;8;;;;;;
7 de dezembro de 2024;Muito bom;Localização;;8;;;;;;
4 de dezembro de 2024;Bom;Localização e funcionários.;O ar condicionado do quarto está precisando de uma limpeza e o elevador é muito lento. Deveriam disponibilizar os deois elevadores para os hóspedes.;7;;;;;;
3 de dezembro de 2024;Para breve período, vale a pena.;Local silencioso. Chuveiro bom. Cama boa. Cadeira não muito confortável para mesa de leitura. Luz branca forte, não muito agradável se for para leitura. Café da manhã com ovos, mandioca, salsicha, bolachas de sal e doce, mamão, abacaxi, melancia, canjica, suco de laranja, água, café, leite, pães, queijos mussarela e presunto, aveia e sucrilhos.;O raio do banheiro tem um cheiro não muito bom. Falta pão de queijo e bacon para o café da manhã. Não tem coberta ou edredon no quarto. A internet não é das melhores, falha um pouco.;7;;;;;;
3 de dezembro de 2024;Bom;Cama;Recepção ;;;;;;;
Interfone quebrado;;;;;;;;;;
Ducha higiênico quebrada ;;;;;;;;;;
Chuveiro enferrujado ;;;;;;;;;;
"Café da manhã.""";7;;;;;;;;;
1º de dezembro de 2024;Muito bom;Bom.cafe, localizacao;Custo beneficio;8;;;;;;
27 de novembro de 2024;Fantástico;Ótimo custo benefício;;9;;;;;;
26 de novembro de 2024;Satisfatório;;Apartamentos pequenos, cama de mola super desconfortável. Café da manhã simples, para o valor cobrado da diária.;6;;;;;;
21 de novembro de 2024;Bom;Bom dia essa é segunda viagem e fiquei já pela segunda vez eu gostei um bom acesso pra tudo .;Gostei de tudo graças a Deus pois caso não gostasse nem voltaria.;7;;;;;;
18 de novembro de 2024;Valeu a penas a hospedagem;Excelente café e acomodações;Estacionamento limitado;8;;;;;;
18 de novembro de 2024;Abaixo do esperado;A localização;Eles só arrumam o quarto e trocam toalhas a cada dois dias. O café da manhã é mediano. Havia um cheiro de cigarro no corredor dos quartos.;6;;;;;;
