data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
12 de fevereiro de 2025;Excepcional;Hotel com excelente localização e pessoal impecável!;Seria importante um update do hotel;10;;;;
1º de abril de 2025;Fantástico;Localização e facilidades disponíveis.;TV só com disponibilidade mínima de programação. ;;;;;
"Imperdoável a falta de streaming (Netflix ou Prime)""";9;;;;;;;
31 de março de 2025;Custo benefício excelente. Valeu a pena a hospedagem.;Hotel com custo benefício excelente. Ótima localização, um café da manhã que me surpreendeu. O apartamento que fiquei (702) tinha uma vista lateral para o mar muito linda (deixei uma foto na avaliação). A equipe nos atendeu super bem. Quarto ótimo com uma cama de casal bem grande, acho que King, ar condicionado novo e bem silencioso, blackout nas janelas. Enfim, bem confortável por um preço justo.;O que pecou foi relacionado ao banheiro. Tinha uma lâmpada queimada e estava bem escuro. Não solicitei a troca porque fiquei apenas duas noites. Acho que sempre, antes do check in, a equipe deveria observar esses detalhes antes da entrega ao cliente. Outro ponto é que, apesar do banheiro grande, o box é pequeno e sem lâmpada. Quando abre o chuveiro é inevitável tomar um jato de água fria e isso me incomoda um pouco. E por último, as toalhas parecem lixas. Muito ásperas.;8;;;;
30 de março de 2025;Férias no Carnaval;Atendimento, café da manhã, wi-fi, acomodação.;Nada a declarar.;9;;;;
28 de março de 2025;Bom;Atendimento muito bom.;O box do banheiro é minúsculo. Café da manhã fraco. Bolos velhos.;7;;;;
27 de março de 2025;Foi bom;Localização;Igual todos outros nesta média;8;;;;
24 de março de 2025;Muito bom;Quarto com vista espetacular.;Serviço de quarto a desejar, muito...;8;;;;
21 de março de 2025;Muito bom;Dentro do esperado pelo preço pago na diária.;Tudo certo.;8;;;;
18 de março de 2025;Bom custo benefício;Bom custo benefício e boa localização;A forma de conexão com o Wi-fi não é boa, sempre que desconecta precisa fazer login pelo site novamente, e o sinal no quarto 1007 oscilava bastante. ;;;;;
"Para utilizar a garagem tem uma tarifa diária.""";8;;;;;;;
12 de março de 2025;Carnaval em Recife.;Localização, limpeza, quarto, atendentes...;Nada a declarar;9;;;;
11 de março de 2025;Muito boa;Cordialidade dos funcionários;;9;;;;
10 de março de 2025;Fantástico;Gostei do quarto e café;Garagem muito baixa;9;;;;
9 de março de 2025;O nordeste é lindo;Localização do hotel;Nosso banheiro é chuveiro;7;;;;
7 de março de 2025;Fantástico;Excelente localização, quarto bem ventilado e com ar condicionado.;Hotel com instalações antigas, torneiras com vazamentos;9;;;;
5 de março de 2025;Normal!;Localização é excelente;;;;;;
27 de fevereiro de 2025;Muito bom;Excelente localização, quarto grande com cama confortável. Bom café da manhã.;Cheiro dentro do hotel, caracterítico de ambientes muito fechados.;8;;;;
24 de fevereiro de 2025;Satisfatória;Ambiente da recepção;No primeiro quarto quase não havia janela;8;;;;
24 de fevereiro de 2025;Vale o custo benefício;O melhor do Hotel é sua localização;Do cheiro de água sanitária após a limpeza dos quartos (chegava a escorregar), do box do banheiro (exalava cheiro ruim pelo ralo e pequeno) e de ter que pagar pelo estacionamento (deixei o carro na rua mesmo);8;;;;
24 de fevereiro de 2025;Bom;Estacionamento muito caro. TV fraca sem os canais streaming.;;7;;;;
22 de fevereiro de 2025;Bom custo benefício;Atendimento dos funcionários muito bom, localização excelente e um bom café da manhã.;Chuveiro ruim, com fiação velha tive de pedir atendimento tecnico, pois fiação estava derretendo podendo entrar em curto.;7;;;;
21 de fevereiro de 2025;Razoável;Localização;Cofre sem funcionamento ! ;;;;;
Porta sem tranca interna e sem ajuste no fechamento;" parecia que dava para abrir com um empurrão !""";7;;;;;;
20 de fevereiro de 2025;Correspondeu as expectativas.;Café da manhã razoável, atendimento cortês da equipe do hotel.;;7;;;;
15 de fevereiro de 2025;Boa localização e bom café da manhã.;Espaço;Não tinha varanda, janelas abriam pouco.;8;;;;
15 de fevereiro de 2025;Fantástico;Hotel limpo, café da manhã variado.;Nada a declarar;9;;;;
15 de fevereiro de 2025;Muito bom e super indico;Localização, café da manhã muito bom.;;;;;;
"Funcionários educados.""";Estacionamento pago;9;;;;;;
14 de fevereiro de 2025;o hotel atendeu as minhas espectativas;café muito bom mas achei a praia de boa viagem escura;o colchao as molas poderiam ser mais firme;8;;;;
