data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
16 de novembro de 2023;Muito bom.;Eu me senti muito bem vindo no hotel. O cadê da manga e uma delicia e bem fresco e bem feito. Os funcionários que eu lembro até hoje porque furam super simpático . Me lembro muito deles foram esses. Kassio, Lucas, Cleiton, Janderson, Petrus e Guilherme vou voltar sempre.;;10;;;;
31 de março de 2025;Boa;Localização;Recepção sem informação de pontos turísticos, guias, mapas e demais informes necessários para o bom atendimento.;8;;;;
31 de março de 2025;Muito bom;Foi boa. Localização excelente. Custo benefício bom.;;8;;;;
30 de março de 2025;Ótimo custo benefício na frente da praia;Acomodação funcional com frigobar;;8;;;;
27 de março de 2025;Atende às expectativas.;A localização é excelente. A equipe muito simpática. Café da manhã excelente.;Estrutura dos quartos um pouco antigas.;;;;;
Com uma pequena reforma;" ficaria muito confortável.""";8;;;;;;
24 de março de 2025;Boa;Café da manhã excelente super recomendo;As camas muito antigas;8;;;;
24 de março de 2025;Muito bom;Café da manhã;Piscina muito pequena;8;;;;
20 de março de 2025;Muito bom;Café;A roupa de cama. Não tem lençol com elástico;8;;;;
17 de março de 2025;Apesar da educação dos funcionários, o hotel é pessimo;Só da localização.;As paredes são finas, a limpeza do quarto foi precária e o ar não funcionava. NO ultimo dia da estadia, faltou agua no hotel que não avisou aos hospedes e ainda para justificar a falta dágiua informou que a manutenção corretiva estava agendada. Ou seja, se havia a previsão de fat dágua, porque os hospedes não foram avisados previamente. Um desrespeito;7;;;;
17 de março de 2025;Muito bom;Café da manhã, localização frente pra priaia;ar condicionado do meu quarto não estava gelando bem;8;;;;
11 de março de 2025;Fantástico;Café da manhã bom. Localização boa.;;9;;;;
27 de fevereiro de 2025;ok;localalição e cafe da manhã;pessimo para estacionar, sempre lotado o estacionamento e o valor é muito alto para o tamanho dos quartos;8;;;;
26 de fevereiro de 2025;Muito bom;Ótima variedade;;8;;;;
25 de fevereiro de 2025;Um bom lugar ,deixa saudade.;Lugar bonito, bem localizado e muito aconchegante.;;;;;;
Funcionários educados e muito prestativos .;;;;;;;;
Um café da manhã muito bom .;;;;;;;;
Tudo muito limpo ;"e uma manutenção rápida com pessoas sempre atenciosas.""";;9;;;;;
23 de fevereiro de 2025;Bom;Localização excelente. A equipe do hotel foi muito atenciosa. Os quartos tem um tamanho bom e banheiro espaçoso.;Ar-condicionado do quarto não funcionava a contento. Frigobar pequeno e no chão. Academia deixou a desejar, equipamentos enferrujados e desatualizados. Estacionamento para poucas vagas e muito apertado.;7;;;;
18 de fevereiro de 2025;Muito bom;tomar cafe de frente para o mar. sair andando na praia e dar uma corrida pela manha;;8;;;;
