data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
5 de novembro de 2024;Tudo agradável!;Tudo agradável! Atendimento bom, quarto confortável, profissionais simpáticos. Ótimo café da manhã;Não tenho reclamações.;10;;;;;;
26 de março de 2025;Experiência ótima, café da manhã de qualidade, atendimento excelente.;Quarto amplo, roupa de cama e banho e boa qualidade, bom chuveiro. Café da manhã bem servido, dentro do normal.;Faltavam lâmpadas no banheiro, problemas com elevador atrapalha fluxo.;8;;;;;;
24 de março de 2025;Apesar do barulho que vinha do salão de eventos, a estadia teve um ótimo custo-benefício.;Localização, café da manhã, da cama king, banheiro grande, armário para armazenamento de roupas e malas.;O hotel possui uma sala de eventos que não possui isolamento acústico. Estava acontecendo um culto evangélico de manhã cedo no dia da minha estadia (sábado), e a cantoria me incomodou por que queria dormir mais um pouco.;8;;;;;;
19 de março de 2025;tranquila;um bom café da manhã, muito boa localização.;falta estacionamento.;8;;;;;;
11 de março de 2025;Fantástico;Localização e presteza dos Funcionários;Cama de casal não é de casal ;;;;;;;
Sao duas camas de solteiros juntadas;;;;;;;;;;
"Dormi em um buraco""";9;;;;;;;;;
5 de março de 2025;Ok;Da cama;;8;;;;;;
5 de março de 2025;Localização ótima e custo benefício excelente.;Localizacao e staff.;;9;;;;;;
3 de março de 2025;Linda vista para o mar;O check in demorou um pouquinho e por isso recebemos um quarto de frente para o mar, para compensar. Achei muito bom, é claro. A porta de vidro que dá acesso à varanda estava um pouco difícil de abrir, mas a vista é muito bonita. O café da manhã é muito bom, só não gostei muito dos pães, pois estavam um pouquinho secos, acho que eram do dia anterior, sei lá. O restaurante do hotel é muito bom e os funcionários muito gentis. A piscina é legal, porém não é aquecida.;;9;;;;;;
28 de fevereiro de 2025;Bom porém poderia melhorar;O hotel fica bem localizado, na orla de Boa viagem. Tem um restaurante bom que serve todas as refeições, com preço razoável. Achei que o quarto precisa de uma limpeza profunda para remover manchas de gordura no box e piso, toalhas melhores e a piscina precisa estar limpa. Fiquei 2 dias e não tive coragem de entrar na piscina pois a água estava verde.;;7;;;;;;
24 de fevereiro de 2025;Muito bom;Tamanho do quarto, móveis.;Não tem estacionamento, não tem tomada perto da cama, no banheiro, a cuba é grande , não tem espaço de bancada pra por alguma coisa.;8;;;;;;
10 de fevereiro de 2025;Excelente localização!;As instalações são antigas, porém muito bem localizado. Cama confortável, toalhas cheirosas e uma ducha inigualável. O recepcionista, Silvio, é extremamente educado, cordial e solícito. O café da manhã é muito bom, com variedade de frutas, pães e tapiocas. Excelente custo benefício!;;8;;;;;;
10 de fevereiro de 2025;Vista incrível pro mar .;Localização excelente;Limpeza dos banheiros;7;;;;;;
9 de fevereiro de 2025;Bom;Localização boa, a beira mar;;7;;;;;;
8 de fevereiro de 2025;Voltaria;Café bom e boa localização;Atendente da madrugada bastante perdido no atendimento;8;;;;;;
4 de fevereiro de 2025;Bom;Localização;Barulho no quarto exaustor externo, piscina suja, funcionários não comprimentam;7;;;;;;
3 de fevereiro de 2025;Localização maravilhosa e café da manhã ótimo;O hotel possui uma localização perfeita, bem de frente à praia. O café da manhã também é excelente, com diversas opções. Os quartos são bem espaçosos e as camas bem grandes e confortáveis.;Da obra que estava ocorrendo na recepção durante a hospedagem;9;;;;;;
24 de janeiro de 2025;Muito bom;Localização excelente, em frente a praia e com vários locais de interesse próximos, um ponto extremamente positivo.;Na acomodação diretamente não, mas o atendimento da recepção deixou a desejar, pois cheguei mais cedo que o previsto e queria já entrar no quarto (mesmo se pagasse um pouco mais) mas a atendente não fez o MÍNIMO esforço e disse que precisaria esperar até as 14h para pegar as chaves. ;;;;;;;
Além disso estava com muitas malas e com minha mãe que estava exausta e em nenhum momento nos informaram que poderíamos deixar a mala em uma espécie de guarda volumes para aguardarmos. ;;;;;;;;;;
Outro ponto é que o restaurante do hotel tem preços absurdamente altos para coisas “básicas”; entendo a questão de localização e época em que fui viajar (dezembro) mas acho que poderia ser revisto ou ter ao menos um “desconto” para quem é hóspede.;;;;;;;;;
Apesar disso; me hospedaria novamente por conta da localização que é excelente;" mas nunca mais chegaria com antecedência""";8;;;;;;;
23 de janeiro de 2025;Bom;Localização é vista do mar;Café manhã fraco , chuveiro muito baixo ,;7;;;;;;
11 de janeiro de 2025;Muito bom;Localização, atendimento;Recepcionista um pouco grossa ( loira );;;;;;;
"Tomadas do quarto não funciona algumas .""";8;;;;;;;;;
7 de janeiro de 2025;Bom;Localização;Estrutura antiga que aparentemente precisa de manutenção;7;;;;;;
6 de janeiro de 2025;Fantástico;Excelente atendimento, funcionários simpáticos, atenciosos e prestativos.;;;;;;;;
"A localização é excelente à beira mar.""";;9;;;;;;;;
5 de janeiro de 2025;Pra 1 noite sem café da manhã;Camas boas e apartamentos limpos.;Café da manhã com ingredientes ruins e mau servido.;7;;;;;;
2 de janeiro de 2025;Foi maravilhoso;O quarto;;9;;;;;;
28 de dezembro de 2024;"""Show de bola""";Café da manhã muito BOM! FUNCIONÁRIOS, CAMAREIRAS ATENCIOSOS E SIMPÁTICOS...;NA RECEPÇÃO, ALGUMAS RECEPCIONISTAS PRECISAM MELHORAR NO QUESITO SIMPATIA.;8;;;;;;
28 de dezembro de 2024;Bom;;Da falta de copos. ;;;;;;;
O valor absurdo da água.;;;;;;;;;;
"Pouca variedade no café da manhã.""";7;;;;;;;;;
28 de dezembro de 2024;Recomendo a estadia, pelas acomodações e pela localização.;Localização excepcional !;A manutenção dos elevadores. Sempre tinha um com problema.;8;;;;;;
