data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
3 de novembro de 2024;Continuem com seu excelente trabalho;A Localização, local para estacionar o carro, limpeza do quarto e atendimento.;;;;;;
"Parabéns.""";;10;;;;;;
25 de março de 2025;Recomendável;Localização.;Chuveiro estava desregulado, espalhando água pra todo lado. E o ar condicionado não estava resfriando adequadamente;;;;;
25 de março de 2025;Razoável pq só passei alguns horas;Próximo aeroporto;Chuveiro não esquentava , cheiro de mofo não tinha frigobar;7;;;;
22 de março de 2025;Satisfatório;Próximo do aeroporto;Estacionamento pago R$25.;6;;;;
19 de março de 2025;BOA OPÇÃO;Da localização e do conforto.;Do estacionamento sem cobertura;8;;;;
17 de março de 2025;Estadia dentro do esperado;Atendimento no check inn e checkout, localização próxima ao aeroporto;Custo benefício alto;8;;;;
8 de março de 2025;Bom;A localização;O café da manhã;7;;;;
6 de março de 2025;Tranquila;Localização;Pagamento por fora do estacionamento;8;;;;
6 de março de 2025;Bom custo benefício para quem vai ficar pouco tempo;Proximidade do aeroporto, do shopping e da praia;Muito barulho vindo da rua até tarde, mas como era carnaval pode ter sido isso. Porta do banheiro de blindex que não abria toda.;8;;;;
4 de março de 2025;Tem outros melhores pelo mesmo preço;Café da manhã razoável;Banheiro com porta de vidro. Quartos muito escuros. Só tem um elevador, além do de serviço, pra chegar até o nono andar;6;;;;
21 de fevereiro de 2025;Caro pra o que é oferecido;Da simpatia dos funcionários e do café da manhã;As instalações são antigas, mas estava tudo limpo.;;;;;
A cama com colchão de molas é muito mole; se tornando desconfortável.;;;;;;;
O estacionamento não é coberto; o piso é terra; quando chove vira lama; e não tem vigia;" porteiro ou manobrista.""";6;;;
17 de fevereiro de 2025;Satisfatório;A equipe foi muito prestativa e eficiente, mesmo o booking não passando a reserva para o hotel. Bairro estranho mas bem próximo ao shopping (fomos a pé) e ao aeroporto.;Instalações um pouco antigas, não passou uma boa impressão. Lençóis mal colocados nas camas, ar condicionado barulhento, banheiro estranho com porta de vidro de correr (fica uma ponta quando aberta que pode causar um acidente). Impressão de limpeza ruim. Ouvimos muitos barulhos do lado de fora dos quartos (pessoas falando alto, portas batendo). Estadia somente 1 madrugada, não provamos o café da manhã.;6;;;;
13 de fevereiro de 2025;Pra trabalho é perfeito;Café é bom, cama boa e os colabores são atenciosos.;Precisa de algumas melhorias;8;;;;
11 de fevereiro de 2025;Bom;Recepção na entrada, limpeza;Recepção saída, instalação antiga, precisando de reforma, chuveiro frio com pouca queda d'água.;7;;;;
3 de fevereiro de 2025;Bom;Limpeza e gentileza dos funcionários;Café da manhã pouca diversidade ;;;;;
"Piscina""";7;;;;;;;
2 de fevereiro de 2025;Muito bom;Geral.;;8;;;;
2 de fevereiro de 2025;Poderia ter sido melhor;Gostei da localização, café da manhã;O colchão era velho é cheio de buracos. O estacionamento era pago, devia estar incluído na diária que não foi barata.;7;;;;
31 de janeiro de 2025;Satisfatório;A localização é boa, bem pertinho do aeroporto que era o meu interesse.;Tive problema com a fechadura da porta. ;;;;;
"Não tinha secador de cabelos""";6;;;;;;;
26 de janeiro de 2025;Custo benefício valeu a pena;Localização , chegamos a noite no aeroporto e decidimos dormir por lá , e o café foi bom .;Muito antigo;7;;;;
