data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;
9 de janeiro de 2025;Bom custo-benefício;Viajei pelo Litoral de bicicleta com uma amigo e tem local seguro para deixar as bicicletas. É limpo e tem um café da manhá bom.;;10;;;;;;;
30 de março de 2025;Fantástico;Localização;Café da manhã;9;;;;;;;
29 de março de 2025;Boa;Excelente atendimento;Descarga banheiro com defeito / televisão com problema de transmissão.;7;;;;;;;
28 de março de 2025;Agradável e tranquilo;Localização boa, tudo limpo local agradável;Os lençóis mais quentinhos;8;;;;;;;
26 de março de 2025;Bom;Café da manhã top, ar condicionado ótimo, localização muito boa!;Tivemos alguns problemas como falta de toalha, lençol, papel higiênico durante a estadia faltou, tivemos que solicitar, a equipe de imediato fez sua parte, porém é algo habitual!;7;;;;;;;
24 de março de 2025;Muito bom;Café da manhã muito bom. Localização muito boa, praia bem próxima.;;8;;;;;;;
22 de março de 2025;Muito bom;O café da manhã poucas opções!Localização muito boa!;O café da manhã poderia ter sido melhor!;8;;;;;;;
20 de março de 2025;Razoavelmente boa, tirando o café que era ruim. Não sinto vontade de me hospedar novamente neste lug;Quarto bem espaçoso, tv boa, ar mais ou menos.;Café muito ruim, poucas opções, pão duro, frutas ruins. Ah lençol da cama de casal muito pequeno não tapava nem metade da cama.;7;;;;;;;
19 de março de 2025;Acessível;Localização;Água da pia do banheiro salobra, banheiro apertado com instalação antiga!;7;;;;;;;
14 de março de 2025;Fantástico;Gostei de tudo que fiz;;9;;;;;;;
11 de março de 2025;O espaço é organizado, estava tudo limpo, café da manhã simples.;O quarto estava limpo, roupas de cama limpas e banheiro igualmente.;Tive que matar uma barata no quarto, café da manhã com poucas opções.;7;;;;;;;
8 de março de 2025;Excelente custo benefício, voltarei certamente .;Amei o lugar, quarto limpinho, organizado, café da manhã delicioso , surpreendente, absolutamente tudo está divino, funcionários bem receptivos e ambiente bem tranquilo . Gostamos muito, voltaremos .;Banheiro bem pequeno, e chuveiro ruim de regular a agua quente , lençol de se cobrir poderia ser melhor , mais fofo e quente .;9;;;;;;;
7 de março de 2025;Custo-benefício regular;Localização;Instalações e limpeza;7;;;;;;;
