data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;
16 de março de 2025;Excelente. Voltaremos em breve 🙏🙏🙏🙏;Localização excelente, da pra fazer tudo a pé. Apartamento zerado. Muito bom.;Tudo novinho. Piscina do prédio maravilhosa, acesso a tudo sem fadiga. Recomendo de mais. Sem contar nas dicas da anfitriã. Sensacional 👏👏👏👏;10;;
24 de março de 2025;Aceitável;Localização ótima.;Hotel antigo. Com muita manutenção a ser feita. ;;;
"Quarto não desligava todas as luzes a noite.""";5;;;;;
7 de março de 2025;Satisfatório;Funcionários, localização.;;;;
"café manhã normal.""";instalações, serviços.;;;;;
não fornecem toalha rosto.;;;;;;
Falta água na ducha higiênico em horários.;;;;;;
"pressão água chuveiro ruim""";6;;;;;
7 de março de 2025;Bom;;Ar condicionado do quarto muito velho.;7;;
5 de março de 2025;Aceitável;Localização.;O ar condicionado estava fraco.;5;;
3 de março de 2025;Satisfatório;Instalações antiga. Valor cobrado acima do que é válido.;;;;
"Localização boa. Funcionários atenciosos.""";;6;;;;
22 de fevereiro de 2025;Razoável.;O café da manha era razoável.;Ar condicionado com defeito. Não havia uma relação de fast food que ajudasse a escolher um produto.;6;;
22 de fevereiro de 2025;Bom;Conforto da cama, café da manhã diversificado e simpatia das funcionárias do café da manhã.;Falta de acolhimento dos funcionários da recepção.;7;;
17 de fevereiro de 2025;Bom;Ar condicionado, localização e chuveiro.;Da cama;7;;
17 de fevereiro de 2025;Boa;Chuveiro, ar condicionado e localização;Da cama. Pedi cama de casal e encontrei, duas camas de solteiro pareadas. Amanhecemos com as colunas doendo e não dormimos bem.;7;;
17 de fevereiro de 2025;O café da manhã é bom;Gostei da limpeza e é bem próximo a praia e comércio local;Não gostei porque o chuveiro não esquentava e o ar condicionado só ventilava (estava quebrado );6;;
8 de fevereiro de 2025;Gostei, iria novamente.;A cama, os lençóis muito limpos.;Achei o banheiro muito pequeno.;7;;
7 de fevereiro de 2025;Satisfatório;Atendimento, café da manhã.;Lençóis com cheiro de mofo, não estavam bem lavados.;6;;
5 de fevereiro de 2025;Satisfatório;Atendimento e localização.;O ar condicionado muito barilhento.;6;;
4 de fevereiro de 2025;Custo benefício bom;Bom;Estacionamento;7;;
29 de janeiro de 2025;No geral um pouco boa;Gostei do local onde fica o hotel;Achei as dependências do hotel sujas e o local de refeição com muita coisa velha;7;;
28 de janeiro de 2025;Foi bom para a minha necessidade;Não fiquei para o café da manhã, sai mais cedo, gostei da localização;Ar condicionado de janela;7;;
27 de janeiro de 2025;no geral, foi bom.;eu fiquei poucas horas, então não tenho certeza do café da manhã, eu esperava mais do quarto pelo preço, é SUPER simples pelo valor cobrado, a tv não ligava. mas é limpinho e os atendentes são super simpáticos.;o quarto é super simples pelo valor cobrado, a tv não ligava e não tinha secador no banheiro 🥲;7;;
27 de janeiro de 2025;Bom;;Ralo do banheiro está entupido, tem que desligar o chuveiro a cada 25 segundos aproximadamente, a pia do banheiro estava com vazamento, molhando o tapete.;7;;
26 de janeiro de 2025;É o um ótimo lugar, mas precisa de pequenos ajustes para ficar perfeito.;Gostei da vista do quarto e do banheiro ter a privada separada do box. ;;;;
A localização é ótima; uma rua atrás da praia;" os funcionários do café da manhã são ótimos.""";Não gostei do acesso ao quarto, que não é avisado que no quarto 53 vc tem que pegar p elevador até o quarto andar, passar pelo restaurante e subir 2 lances de escada, como estava com mala grande, foi um pouco dificultoso o acesso. O ar condicionado não funcionava direito, de madrugada desligava e era um pouco ruim de religar.;;;
O quarto estava um pouco sujo também; com poeira;" lixo embaixo da cama e cabelo no chão.""";7;;;
24 de janeiro de 2025;Aceitável;;Ar condicionado antigo;;;
"Cama não era de casal""";5;;;;;
24 de janeiro de 2025;Aceitável;Localização;Ar condicionado muito velho e parou de funcionar do nada;5;;
21 de janeiro de 2025;Aceitável;funcionários muito atenciosos e educado, e a localização.;o que me deixou triste foi com a limpeza:;;;
#NOME?; duas vezes;;;;;
#NOME?;;;;;;
#NOME?;;;;;;
"- pratos pra uso não protegidos de contaminação""";5;;;;;
19 de janeiro de 2025;Bom;Localização ;;;;
Café da manhã ;;;;;;
"Limpesa""";Não tem estacionamento privativo;;;;;
A lâmpada do quarto não apagava por completo; por conta disso não dormi bem; pois não consigo dormir com claridade; solicitei manutenção; sem êxito;" não repararam o pronlema""";7
16 de janeiro de 2025;Precisa de melhoras;O hotel é silencioso e os funcionários simpáticos.;;;;
O café da manhã é bem simples;" mas gostoso.""";As instalações são antigas, precisam de uma reforma.;;;;
