data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
3 de novembro de 2023;Excepcional;Localização e simpatia dos funcionários;;10;;;;;;
29 de março de 2025;Funciona porque e perto do aeroporto;Quarto é pequeno mas era esperado.;;;;;;;;
Pontos negativos:;;;;;;;;;;
#NOME?;;;;;;;;;;
#NOME?; travesseiro e cobertor muito ruins.;;;;;;;;;
Positivo :;;;;;;;;;;
#NOME?;" educados e prestativos.""";;7;;;;;;;
28 de março de 2025;Boa;Não estava incluso;Um pouco apertado.;7;;;;;;
27 de março de 2025;Boa;;Pagar estacionamento !;8;;;;;;
27 de março de 2025;Votaremos com certeza!!;Nao tomamos cafe da manha!! jantamos no hotel que foi excelente!! localizaçao otima. gostei de tudo e tambem tive a opcao de ficar no apartamento no terreo excelente!! (nao gosto de elevadores);Foi tudo muito bom!!;9;;;;;;
24 de março de 2025;Fantástico;;Estacionamento muito caro;9;;;;;;
23 de março de 2025;Localização privilegiada, mas não seria um hotel para me hospedar por mais de um dia.;A localização é boa, próximo ao aeroporto. Facilita para retorno ao meu destino.;O atendente no cheking foi muito ríspido.;;;;;;;
"Perguntei se queria a carteira de vacinação da minha pet e me respondeu bem grosseiro e ríspido com “com certeza”. Durante o preenchimento dos dados e quando eu perguntei informações sobre restaurante e táxi não se dignou a me olhar para responderem momento algum.""";7;;;;;;;;;
23 de março de 2025;Muito bom;Localização;Preço.;8;;;;;;
22 de março de 2025;Sabadão insolarado;Gostei de tudo;Nào gostei do Restaurane, demora muito.;9;;;;;;
22 de março de 2025;Muito bom;Ao lado do aeroporto;A limpeza poderia ser melhor, os travesseiros são finos, a única coberta é um edredom de solteiro. No banheiro 2 toalhas de banho e 2 sabonetes. Televisão com apenas 4 canais. Nem um café de cortesia, tudo tem que pagar. Pelo valor deveriam oferecer mais.;8;;;;;;
22 de março de 2025;boa;e confortável e serve bem para o que fomos fazer;não ter água no frigobar;8;;;;;;
21 de março de 2025;Excelente;Localização;;9;;;;;;
19 de março de 2025;Cordialidade de sempre do colaborador Ulisses;Facilidade de acesso a maioria dos locais na grande Recife;;8;;;;;;
18 de março de 2025;Bom;Gostei da localização. É perto do aeroporto e perto do shopping Recife. Gostei da variedade do café da manhã.;Não gostei do preço do café da manhã;7;;;;;;
16 de março de 2025;Muito bom;Muito próximo ao aeroporto. Como partimos de madrugada, utilizamos o transfer do hotel para o aeroporto (táxi parceiro), ao custo de 12 reais (mais em conta que uber).;;8;;;;;;
13 de março de 2025;Boa;Localização e limpeza;Cama adicional péssima;8;;;;;;
11 de março de 2025;Sempre acolhedor;Adoro esse Ibis;;;;;;;;
11 de março de 2025;Bom;Localização;Custo benefício, vaso vazando água a noite..;7;;;;;;
10 de março de 2025;Excelente;Proximidade com o aeroporto;;9;;;;;;
8 de março de 2025;Fantástico;Excelente localização, fácil acesso aos principais locais na cidade e muito próximo do aeroporto, o que facilita muito para quem viaja de avião. O hotel tem convênio com a cooperativa de táxi para o transporte ao aeroporto, o que facilita muito aos usuários,;Gostamos de tudo;9;;;;;;
6 de março de 2025;Local para passar uma noite, do lado do aeroporto;Facilidade de ser próximo do aeroporto e ter restaurante próprio. Para quem tem voo muito cedo, como foi meu caso, foi uma opção. Os funcionários são muito simpáticos e atenciosos.;Valores muito caros das refeições e da estadia, café da manhã fraco pelo preço cobrado.;7;;;;;;
4 de março de 2025;Ótimo;Ótima experiência. Atendimento muito bom. Muito próximo ao aeroporto e locadoras de carro.;;9;;;;;;
4 de março de 2025;Muito bom;Funcionários;Café da manhã;8;;;;;;
2 de março de 2025;Excelente localização e custo benefício.;Bom café da manhã, bom ser servido cedo, porém achei caro. A localização é absolutamente perfeita para quem precisa estar cedo no aeroporto.;Preço do café da manhã.;8;;;;;;
1º de março de 2025;Agradável e divertido !;Os funcionários muito atenciosos.;;;;;;;;
Algumas variedades para nos divertimos enquanto estamos no hotel . O som ao vivo foi muito legal .. 👍;;;;;;;;;;
A comida muito gostosa e com preço ok!;;;;;;;;;;
"Hotel limpo e moderno .""";Por um dia , achei o valor alto ! O lugar é só realmente para quem está passando ou precisando passar uma noite . Por isso achei o valor da estadia alto !;9;;;;;;;;
24 de fevereiro de 2025;Fantástico;Recepcionista muito educada e atenciosa, quarto limpo e confortável!!;Eu estava sozinha para colocar malas no carro, pois estava com uma criança e uma idosa e nenhum dos sois manobristas sequer levantou pra me ajudar.;9;;;;;;
21 de fevereiro de 2025;Boa;Limpeza;Nada a declarar;9;;;;;;
21 de fevereiro de 2025;Muito bom;Atendimento.;Reforma;8;;;;;;
21 de fevereiro de 2025;Rápida e eficiente.;;Não sabia do transfer do aeroporto para o hotel. Fomos a pé;9;;;;;;
18 de fevereiro de 2025;Boa, mas excessivamente cara.;Localização para quem vai pegar avião;Preço absurdo para o nivel do hotel;8;;;;;;
18 de fevereiro de 2025;Próximo aeroporto;Próximo aeroporto;;;;;;;;
Limpeza;",Ruído de motores incomoda para dormir""";8;;;;;;;;
17 de fevereiro de 2025;Atende uma pernoite, mas é caro pelo que oferecem;Próximo ao aeroporto, cumpriu o propósito. Quadro pequeno, não tem café dada manhã.;O preço da estadia para o que oferecem, muito cara;8;;;;;;
11 de fevereiro de 2025;Bom;Quarto muito bom, tudo limpo, boa localização perto do aeroporto.;Nos fizeram preencher um formulário gigante de pré checkin para ao chegarmos termos de passar novamente todas as informações.;;;;;;;
Apesar de ser perto do aeroporto;" tem que pegar taxi até lá.""";7;;;;;;;;
10 de fevereiro de 2025;Muito bom;Localização ;;;;;;;;
"Silêncios""";;8;;;;;;;;
9 de fevereiro de 2025;Muito bom;Quarto confortável, o restaurante do hotel e o café da manhã.;;9;;;;;;
6 de fevereiro de 2025;O hotel é bom... Poderia ser mais barato... Não é tão excepcional assim para o preço cobrado.;A localização é muito boa.;O atendimento no restaurante é pessimo.;7;;;;;;
6 de fevereiro de 2025;Razoável, dentro do padrão Íbis;Localização , ducha , isolamento acústico;Café da manhã muito fraco, poucas variedades , frigo bar não tinha nenhuma bebida;7;;;;;;
5 de fevereiro de 2025;Muito agradavel.;Otima localização para ir ate o aeroporto, atendimento.;Precisa informar ao cliente que a taxa gratuita informada para pegar taxi ate o aeroporto, na realidade não é gratuita.;9;;;;;;
3 de fevereiro de 2025;Ótimo custo x benefício!;Excelente opção para quem precisa pegar um vôo cedo ou chega no aeroporto tarde da noite.;;;;;;;;
Tudo bem limpinho; apartamento pequeno; mas muito confortável;" tudo novo.""";-;8;;;;;
2 de fevereiro de 2025;Bom;A proximidadecom o aeroporto;A limpeza do quarto deixou a desejar, a fronha estava lavada, mas tinha marca de maquiagem.;7;;;;;;
2 de fevereiro de 2025;Fantástico;Café da manhã excelente;;9;;;;;;
31 de janeiro de 2025;Rápida;Simpatia das funcionários;Comida , preço;7;;;;;;
31 de janeiro de 2025;Fantástico;Localização;Atendimento no café. Terminei o café (uns 20 minutos) e os ovos mexidos não foram repostos, mesmo fazendo pedido.;9;;;;;;
28 de janeiro de 2025;alivio em poder descansar!;no meu momento de correria, o Ibis estava em ula localização estratégica;o cheiro nos corredores, incomodo;9;;;;;;
23 de janeiro de 2025;Muito bom;Gosto muito do IBis, só sinto falta de uma iluminação melhor para estudar à noite, poderia haver uma luz direta sobre a escrivaninha;;8;;;;;;
21 de janeiro de 2025;Fantástico;Localização;;9;;;;;;
21 de janeiro de 2025;Bom;Da localização. Ser perto do aeroporto facilita.;O preço elevado da hospedagem;7;;;;;;
20 de janeiro de 2025;Foi bem satisfatório dentro do conceito Ibis.;Muito bom o café da manhã.;o Colchão não 'muito gostoso;9;;;;;;
19 de janeiro de 2025;Bom custo benefício para passagem, estadia de 1 noite;Cama e travesseiro confortável, bom chuveiro, tamanho bom do banheiro, até grande para o tamanho do quarto;Pouco espaço para manusear malas;;;;;;;
18 de janeiro de 2025;Cumpre o prometido, apesar do preço elevado;Localização próxima ao aeroporto;Preços caros para hotéis desse tipo;8;;;;;;
18 de janeiro de 2025;Muito bom;Localização;Preço e atendimento demorado e sem flexibilidade nos pedidos;8;;;;;;
15 de janeiro de 2025;satisfatório;localização excelente pra quem vai pegar voo. o transfer do hotel pro aeroporto custa 12 reais, e este é solicitado pelo hotel, que chega em menos de 5 minutos. ;;;;;;;;
o café da manhã poderia seria ser melhor; em comparação com outras unidades e pelo valor cobrado.;;;;;;;;;
O quarto é confortável e atendeu bem a minha necessidade (duas crianças -17 e 9 anos); sendo espaçoso;" banheiro amplo e com amenidades básicas.""";Café da manhã aquém do padrão do hotel e valor muito acima, comparado com outras unidades. Ibis budget paraíso, em SP cobra um valor menor e oferece um buffet muito melhor.;8;;;;;;
15 de janeiro de 2025;Ficaria outras vezes;Perto do aeroporto;Café da manhã;8;;;;;;
15 de janeiro de 2025;Foi bom;Foi bom perto do aeroporto;;9;;;;;;
14 de janeiro de 2025;Um bom custo-benefício;;Não tem tapete no banheiro e nem água no frigobar;8;;;;;;
14 de janeiro de 2025;Superou expectativas;Simpatia do pessoal do turno da noite, localização próximo do aeroporto e das rent a car. O objetivo foi, chegar dormir e no dia seguinte alugar carro, tudo muito próximo. Pequeno almoço muito bom.;;8;;;;;;
14 de janeiro de 2025;Férias;Da estrutura do hotel como um todo e da localização.;;9;;;;;;
14 de janeiro de 2025;Ok, com pontos a melhorar, especialmente quanto ao conforto das comodidades e a qualidade da comida servida no jantar.;Gostei da localização, porque precisávamos de fácil acesso ao aeroporto. Em geral, os e as funcionárias são bem simpáticas e atenciosas. Tem um “barzinho/café” na recepção, que vende salgados, bebidas e lanches simples (misto e queijo quente) - gostamos de ter essa opção e a sala de jogos.;O colchão e os travesseiros não são confortáveis, o chuveiro não esquenta direito, nas áreas comuns os ar-condicionados são desproporcionalmente gelados, o estacionamento é terceirizado e pago à parte e as comidas servidas no jantar não são boas (sem sabor e não parecem frescas).;7;;;;;;
13 de janeiro de 2025;Bom;Localização;;7;;;;;;
13 de janeiro de 2025;Muito bom;Localização prox ao aeroporto;Diária muito alta e não inclui café da manhã ( cobrado a parte) mesmo pra pernoite não compensa;8;;;;;;
12 de janeiro de 2025;Limitado;Localização;Falta de estacionamento paranhospedes;8;;;;;;
8 de janeiro de 2025;Estadia aeroporto;Padrão IBIs não tenho que reclamar ;;;;;;;;
"Estava em conexão no aeroporto de Recife e fiquei uma noite no hotel que me atendeu bem""";;9;;;;;;;;
7 de janeiro de 2025;Preço muito alto pelo benefício.;A localização.;Preço altíssimo pelo benefício;7;;;;;;
6 de janeiro de 2025;SATISFEITO;Perto do aeroporto;Café da manhã;9;;;;;;
5 de janeiro de 2025;Muito bom;Localização excelente em relação ao aeroporto;Quarto bem apertado;8;;;;;;
5 de janeiro de 2025;Bom;Boa localização pra quem precisa estar perto do aeroporto, quartos limpos padrão Ibis e o transfer incluído do aeroporto para o Hotel (convênio com Táxi) é muito positivo.;Fila para checkin em plena madrugada, quarto sem toalha de rosto, um pouco de demora na reposição de alguns itens no café da manhã.;7;;;;;;
2 de janeiro de 2025;Razoável;Limpeza do banheiro;;7;;;;;;
2 de janeiro de 2025;Fantástico;Cama confortável, otimo chuveiro, atendimento rapido na recepcao, ar condicionado potente;Toalhas finas e duras, travesseiros baixos e moles;9;;;;;;
1º de janeiro de 2025;Muito bom;comodidade;espaço no quarto bem pequeno;8;;;;;;
1º de janeiro de 2025;Desorganização e esperas além do necessário .;Localização do hotel;Uma única pessoa para atender no check-in, o que estendeu a espera mais do que o necessário;;;;;;;
No café da manhã; faltou organização; o que fez faltar alimentos; copos e xícaras; atrapalhando um café tranquilo.;;;;;;
Pedi para que a recepcionista chamasse um táxi (conveniado com o hotel) e a mesma me pediu para chamar um Uber; enfim;" falta muita organização para receber os hóspedes.""";7;;;;;;;
1º de janeiro de 2025;Muito bom;Ao lado do aeroporto, mas sem interferir no descanso.;Acho desnecessário a cobrança do estacionamento, visto o valor da diária já ser elevado.;8;;;;;;
30 de dezembro de 2024;Pra uma noite . Ok.;Padrão ibis;Padrão ibis;8;;;;;;
30 de dezembro de 2024;Muito bom;Precisamos de passar uma noite e cerca do aeroporto por conta da logística e o hotel atendeu muito bem. Eles tem um convênio com os taxistas, então a ida de transfer não paga. Os quartos são bem limpos também.;;8;;;;;;
