data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
10 de janeiro de 2023;maravilhoso;Tudo. os funcionários são maravilhosos, prestativos, atenciosos. o hotel tem quartos no tamanho certo, banheiro bom. café da manhã 5 estrelas, delicioso com inúmeras opções. impossível sentir falta de algo, tem de tudo e saboroso.;nada;10;;;;;;
1º de abril de 2025;Boa;Limpeza e cafe da manhã bom e organizado. Poderia ter mais opções de paes e queijos e opções zero lactose.;;9;;;;;;
1º de abril de 2025;Excepcional;Foi uma experiência agradável, superou nossas expectativas.;;10;;;;;;
30 de março de 2025;Foi boa, mas poderia ser melhor.;Excelente o café da manhã e o atendimento dos funcionários.;O quarto estava limpo, entretanto os ralos do banheiro exalavam um odor desagradável. Essa foi uma experiência não satisfatória para o preço que pagamos. Além disso, o valor pago pela diária do estacionamento poderia ser menor para os hospedes do hotel.;8;;;;;;
27 de março de 2025;Excepcional;Quarto;;10;;;;;;
26 de março de 2025;Muito bom;Gostei da limpeza.;O café da manhã, poderiam melhorar as opções .;8;;;;;;
24 de março de 2025;Muito boa;quase tudo;estacionamento;9;;;;;;
23 de março de 2025;Otimo hotel;Ótimos quartos, bem novinhos. Toalhas boas e pesadas;Único defeito do quarto é o ar condicionado ser direcionado pra cama. Bate o vento no nosso rosto;10;;;;;;
22 de março de 2025;Fantástico;Localização;Café da manhã;9;;;;;;
21 de março de 2025;Excepcional;Gentileza dos funcionarios;;;;;;;;
"Cafe da manha maravilhoso""";;10;;;;;;;;
20 de março de 2025;O Hotel e sua equipe continuam excelentes;A reforma do 13º andar ficou ótima. A nova disposição dos móveis e a reestilização do banheiro também ficou muito boa!;Ter ficado pouco tempo para desfrutar mais do hotel.;9;;;;;;
18 de março de 2025;Maravilhosa!;Cama espaçosa;;;;;;;;
Lençóis ótimos;;;;;;;;;;
Gosto do atendimento; o rapaz Rafael foi bem atencioso e divertido; levou nossa vibe na boa.;;;;;;;;
"Ótimo atendente! Att. Família “Sandro “ 😂""";Toalhas ressecadas, dava gastura, já foi muito usada, machuca até a pele, dependendo da forma como for se secar.;10;;;;;;;;
18 de março de 2025;Bom hotel, atende.;Bom café da manhã, localização excelente, quarto espaçoso. Ótimo banheiro, ótima cama.;O restaurante que se encontra no hall deixa a desejar. Demora muito grande. Pedi um suco e me entregaram o suco errado. Foram entregar o suco correto somente ao final da refeição. Além disso, o pudim estava quente.;9;;;;;;
17 de março de 2025;Recomendo!;Funcionários altamente qualificados e educados, localização e café da manhã.;A academia pode ser maior e melhor equipada. O atendimento por telefone foi um pouco demorado.;9;;;;;;
13 de março de 2025;Boa hospedagem;Bem localizado!;Não tenho nada em específico.;9;;;;;;
10 de março de 2025;Excepcional;Todo hotel muito organizado,limpo e bem moderno;Um pouco longe da orla;10;;;;;;
10 de março de 2025;Excepcional;Tudo;Nada;10;;;;;;
9 de março de 2025;Excepcional;Tudo!;Nada!;10;;;;;;
9 de março de 2025;Excelente hotel em Recife;Os quartos reforma estão excelente!;Nada;10;;;;;;
6 de março de 2025;custo e benaficio!;;áreas comund do hotel são bem velhas, precisa de um reforma.;9;;;;;;
