data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota
7 de agosto de 2023;Maravilhosa;Tava tudo uma maravilha Amei Minha mãe veio e me indicou;não tenho que reclamar;10
23 de março de 2025;Fantástico;O café da manhã é maravilhoso.;;
23 de março de 2025;Péssima surpresa e resolução proforma.;Boa localização, café da manhã bom, ar condicionado bom;Meu quarto estava num andar em reforma, o ultimo quarto ao lado do tapume, confesso que me senti a principio insegura e logo depois preocupada com o barulho, em nenhum momento do check in isso foi informado, o cheiro de reforma estava no andar todo. Mas a pior situação foi....já com o sentimento de insegurança, ouvi barulho na minha porta, parecia alguem passando a chave, por sorte tinha trancado a minha porta, mas como não sabia a acústica do hotel, pensei que poderia ser o vizinho, ou mesmo a obra...o barulho se estendeu por mais umas 4 vezes, e criei coragem e abri, tinha um homem de fato tentando abrir a minha porta. Ele estava com a chave para o mesmo quarto 311. Descemos na recepção para resolver, a pessoa da recepção somente se desculpou de forma bem pro forma e me deixou no quarto, afinal eu já estava lá, e colocou a pessoa em outro, e fim, disse que a chave não abriria a porta pq o sistema não faz 2 chaves para o mesmo quarto e foi isso. Eu peguei o meu constrangimento e insegurança e guardei no bolso.;7
18 de março de 2025;Excelente!!!;Excelente localização!;Falta de estacionamento!;9
11 de março de 2025;Bom custo benefício.;O hotel fica em uma ótima localização. Possui uma cobertura bem bonita e agradável para passar parte do dia e apreciar a vista. Rápido do check-in e chek-out. Máquina do café da manhã e a tapioca eram bons.;Embora eu não tenha experimentado nenhum problema, verifiquei que o hotel tem uma estrutura um pouco mais antiga. As roupas de cama poderiam ser mais novas e o café da manhã mais generoso com mais opções.;8
11 de março de 2025;Muito bom;Localização;Preço dos alimentos;8
10 de março de 2025;O quarto estava ok .;O cafe da manhã é bom .;A piscina é minúscula.;7
10 de março de 2025;Fantástico;Café da manhã;Não tinha estacionamento;9
9 de março de 2025;Bom hotel, nada excepcional. Pelo preço, consideraria outras opções.;De modo geral, é um bom hotel. Quarto amplo, limpeza ok, tirando um ou outro funcionário da recepção, o tratamento foi muito cordial. É bem localizado: farmácia, padarias e restaurantes por perto. De frente pra praia. O café da manhã era ótimo.;O quarto tinha um cheio constante de mofo, que, por vezes, impregnava na roupa de cama. Creio que por alguma falha no ar condicionado (de onde caia muita água quando desligado). A recomendação foi deixá-lo constantemente ligado.;7
6 de março de 2025;Muito bom;cafe da manha fraco, pois muito básico e nada gostoso. O ovo mexido não tinha gosto de nada, bolos ruins, nenhum pao gostoso. achei terrível acordar de uma noite de carnaval e ter que tomar café da manha ouvindo frevo nas alturas... perdão, mas tudo tem hora. Também o lugar do café da manhã é muito ruim. Pequeno para a quantidade de pessoas, disposição do buffet também péssima, dificultando a mobilidade no sãlão. O salão é bem aquém do restante do hotel.;;8
6 de março de 2025;Bom;;Não tem estacionamento. Frigobar desabastecido.;7
5 de março de 2025;Fantástico;Café da manhã maravilhoso, quarto bem espaçoso, piscina ok. Pela estrutura do hotel e o que ele oferece tivemos um ótimo custo/benefício.;;9
5 de março de 2025;Precisando de cuidados na área da piscina;Café e recepção;Área da piscina e janelas dos quartos sujas;7
5 de março de 2025;Boa localização;Localização, bom café da manhã, tamanho do quarto;Quarto estava sujo nos cantos do chão, área da piscina é bem pequena e acesso estranho;9
5 de março de 2025;Médio-Ruim;As dependências do quarto parecem velhas, com aspecto de sujeira. O ralo do chuveiro não funciona bem, acumulando água do banho.;As dependências do quarto parecem velhas, com aspecto de sujeira. O ralo do chuveiro não funciona bem, acumulando água do banho.;7
26 de fevereiro de 2025;Excelente,;Excelente;;9
23 de fevereiro de 2025;Bom;;Falta de estacionamento ou valet.;
