data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
14 de novembro de 2024;Excepcional;as suite Sao bem grandes e os funcionaros bem simpaticos as arumadeira tudo simpaticas e OS quartos bem limpos.;a comida do restante muito cara e nao tem sabor nehum. pedir um file de peixe 65 reais veio um pedaco pequeno com arroz muito sem sabor e cara.;10;;;;;;;;
27 de março de 2025;Hospedagem Satisfatório.;Tamanho do Quarto, localização e Café da manhã!;Limpeza do quarto e chuveiro.;8;;;;;;;;
27 de março de 2025;Bom;O café da manhã é bom, com variedade. Os funcionários são muito educados e gentis.;O quarto que ficamos na condiz com as fotos do site. O banheiro tem um chuveiro muito fraco e falta uma boa reforma. Havia cabelo no ralo da pia. O hotel está passando por reforma no restaurante, então pode ser que venham a reformar os quartos tbm. Isso seria bom pq realmente é necessário.;7;;;;;;;;
26 de março de 2025;Muito boa!;O café da manhã muito completo e com variedades que atendia a todos. O rooftop também é muito agradável e o restauramte de lá tem pratos deliciosos.;nada a reclamar;8;;;;;;;;
25 de março de 2025;Muito bom;Boa estadia, boa localização, bom atendimento.....ponto negativo é que estava em reforma na portaria, o que trouxe inconveniências.;;;;;;;;;;
Elevadores são poucos pro tamanho do hotel e ainda tinha um quebrado.;;;;;;;;;;;;
"Piscina é boa...... o ruim é não poder levar sua bebida.""";;8;;;;;;;;;;
24 de março de 2025;Boa!;Check in rápido, ótimo espaço(área) do quarto, piscina, lobby bar e a localização do hotel.;Acesso à internet com sinal muito fraco dificultando home Office. O chuveiro que não é ducha e pouca iluminação no banheiro. Café da manhã com mesas coletivas.;9;;;;;;;;
23 de março de 2025;Bom;Localização do hotel, simpatia dos funcionários;Pequeno almoço pobre para um 4 *, constrangimento das obras.;7;;;;;;;;
22 de março de 2025;Caro para o que oferece, apesar da ótima localização.;Camas. Localização. Acessibilidade do quarto. Terraço;Chuveiro. Tv a cabo limitada. Café da manhã sem reposição de pão de sal e pão de queijo.;7;;;;;;;;
20 de março de 2025;Otimo custo benefício;Localização excelente, limpeza do quarto, ar condicionado novo e gelando bem, chuveiro com ótima pressão, café da manhã farto e diversificado.;A cama não era confortável, era dura e sentimos as molas do colchão nas costas, o hotel estava cheio e só tinham 2 dos 3 elevadores funcionando, os corredores tem cheio muito forte de mofo.;9;;;;;;;;
20 de março de 2025;Boa;O hotel tem uma boa localização, muito próximo da praia de Boa viagem e da feirinha. O café da manhã poderia ter mais opções de bolos e pães doces.;Necessário sucos mais diversos no café da manhã.;7;;;;;;;;
19 de março de 2025;Fantástico;Da localização, do restaurante no rooftop, o próprio rooftop;"Não é um problema fixo, mas o hotel está em obras. Elevadores em manutenção boa parte do tempo, gerando um ""trânsito"".";9;;;;;;;;
19 de março de 2025;Bom;Localização e café da manhã;Limpeza;7;;;;;;;;
19 de março de 2025;Muito bom;Localização e rooftop, área de piscina com vista incrível.;Nada específico, bom custo benefício.;8;;;;;;;;
18 de março de 2025;Muito boa.;Conforto, quarto e banheiros amplos, cama confortável, limpeza.;Achamos o café da manhã simples, algumas opções não muito saborosas.;;;;;;;;;
Além disso; muitas obras ao lado e no próprio hotel; que acabaram interferindo um pouco no descanso;" principalmente quando queríamos acordar mais tarde.""";9;;;;;;;;
17 de março de 2025;voltarei.;localização, comida, acomodação.;solicitei uma bebida para ser entregue no quarto e não fui atendido.;8;;;;;;;;
16 de março de 2025;Razoável;Piscina e localização.;Cama sem conforto e estacionamento.;8;;;;;;;;
16 de março de 2025;Fantástico;Localização, comodidades no rooftop, restaurante e atendimento;;9;;;;;;;;
12 de março de 2025;Ótimo custo-benefício;Acomodação com ótimo custo-benefício devido a localização. Junto da feirinha da praia de boa viagem, tem ótimos restaurantes, inclusive do próprio rooftop do hotel. Ficamos em um quarto amplo e muito silencioso.;Lençóis não pareciam tão limpos, do mesmo modo que solicitamos uma cobertinha que veio com um tufo de cabelo, mesmo estando embalada. Acredito que seja problema da lavanderia. A cama de casal era duas de solteiro, o que tornava ruim o “meio”.;9;;;;;;;;
12 de março de 2025;Bom;A localização é excelente. O terraço com piscina é maravilhoso, o atendimento, conforte e vista. Além do atendimento na recepção foi atencioso e o senhor que ajuda com as bagagens foi um querido.;Precisa mesmo de melhorias no quarto, a cama não é confortável e tudo muito antigo, mas o tamanho é bom, a obra na recepção incomoda um pouco mas espero que deixe muito melhor.;7;;;;;;;;
12 de março de 2025;Bom custo-beneficio e boa localização;Boa localização ;;;;;;;;;;
"Quarto confortável""";O quarto (para 3 pessoas) era,sem vista;9;;;;;;;;;;
11 de março de 2025;Decepção;A localização é perfeita, a vista da piscina também é perfeita;O quarto era antigo, os travesseiros eram duros, o chuveiro não esquentava e tivemos que tomar banho no gelado durante dois dias.;7;;;;;;;;
11 de março de 2025;Bom;O café da manha, muito bom, atendeu as expectativas, a localização tambem, excelente.;Os quartos precisam ser reformados, apesar de espaçosos, os armarios e areas para pendurar roupas deixaram a desejar, camas de molas tambem, poucos travesseiros, banheiros muito antigos e com problemas estrururais com acumulo de agua dentro do box.;7;;;;;;;;
10 de março de 2025;Podia ser melhor, mas tem boa relação custo/benefício;Localização. A piscina e o bar no rooftop também são muito bons. O quarto é espaçoso, com bom ar condicionado e tem vista para o mar e para a pracinha de Boa Viagem (quarto 1111). ;;;;;;;;;;
A tv é boa com os canais mais procurados (Netflix; Globoplay; etc). ;;;;;;;;;;
"O banheiro está pedindo uma melhoria e o café da manhã é mediano. Poderia ter mais variedade.""";O estacionamento é terceirizado (R$ 30,00/dia) e é insuficiente para todos os carros e acabam levando parte dos carros para outro estacionamento, descoberto, pois o carro me era devolvido quente, tendo ficado ao sol.;8;;;;;;;;;;
9 de março de 2025;Muito bom;Localização ótima! Um restaurante no terraço com vista linda e boa comida !;Hotel um pouco antigo! Carpete no corredor! Falta manutenção!;8;;;;;;;;
9 de março de 2025;Ótimo custo-benefício no coração de Boa Viagem;Ótima localização: o hotel fica a poucos metros da praia, perto da pracinha de Boa Viagem, de bons restaurantes e vasto comércio. Quarto confortável, banheiro bom e limpo, e bom café da manhã, com tapioca feita na hora. O rooftop, com linda vista da praia de Boa Viagem é um ponto alto: o ambiente é bem decorado e muito agradável, contando ainda com um bar/restaurante. Ótimo atendimento.;Poucas tomadas no quarto, roupa de cama com pequenos rasgos, chuveiro elétrico do banheiro sem regulagem de temperatura (disponível apenas água fria ou muito quente).;9;;;;;;;;
