data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;
4 de fevereiro de 2025;Excepcional;Hotel muito bem localizado, funcionários muito prestáveis. Bom café da manhã. Excelente quarto. Gostei de tudo.;Gostei de tudo.;10;;;;
3 de abril de 2025;Tudo muito tranquilo, excelente varanda com vista mar;Localização excelente, bom café da manhã, equipe atenciosa;;8;;;;
1º de abril de 2025;Excelente custo benefício superando minhas expectativas!;Hotel de excelente qualidade. Vista da praia maravilhosa. Café da manhã fantástico, com especial gratidão ao carinho pelo atendimento da Haila que faz toda a diferença com a crepioca, omelete, tapioca...etc. Toda equipe de garçons, especial à moça que faz a caipirinha, a que atendeu...enfim...todos de bom humor e atenciosos (Não sei os nomes). A segurança dos elevadores com cartão para autorizar o andar, os rapazes do estacionamento, a recepção do hotel...enfim...todos sempre prontos a prestar um atendimento de excelência. Isso me fez apreciar ainda mais Recife. Parabéns!;De saber que tem tubarões na praia...mas, quanto a isso, nenhum hotel resolve.;10;;;;
1º de abril de 2025;A melhor opção de hospedagem na Avenida Boa Viagem;Da localização, perfeito para quem está em férias. A equipe é bem atenciosa e prestativa, boas acomodações (amplas e arejadas), todos os quartos com vista para o mar. O ar-condicionado em bom funcionamento. Sempre que viajamos a Recife nos hospedamos no Radisson, desde quando era o Beach Class.;A comida do restaurante poderia ser melhor e buscar equilibrar o custo-benefício. O café da manhã poderia melhorar. O desejável é uma alimentação mais saudável, com menos gordura, menos açúcar, menos produtos industrializados e mais produtos naturais.;8;;;;
31 de março de 2025;Bem localizado, quarto amplo, mas precisa de gestão na solicitação dos hóspedes.;Café da manhã sortido, inclusive com opção fit. Registro o atendimento da Hiale na tapiocaria…super atenciosa, simpática e a tapioca uma delícia!!!;Informei, no momento da reserva, que tenho problemas de rinite alérgica, que precisava de atenção, enfim, ao chegar no quarto senti cheiro de mofo, que não sei se era proveniente dos travesseiros ou colchão, enfim, precisei utilizar antialérgico e não tive um sono restaurador.;8;;;;
31 de março de 2025;Fantástico;Localização, atendimento e funcionários educados e prestativos;;9;;;;
30 de março de 2025;Excepcional;excelente localização;;;;;;
funcionários atenciosos;;;;;;;;
"café da manhã ótimo""";;10;;;;;;
29 de março de 2025;Hospedagem perfeita no Recife.;Gostei de tudo.;Não se aplica.;10;;;;
17 de março de 2025;Bom hotel;Tamanho do quarto, com vista para o mar;;9;;;;
10 de março de 2025;Excepcional;Instalação confortável e localização;Tudo ok;10;;;;
9 de março de 2025;Fantástico;;Do atendimento da portaria;9;;;;
