data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2025;Muito agradável em termos gerais;Funcionários muitos atenciosos;Cortinas não permitem que fiquemos a dormir um pouco mias deixa entrar o sol.;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Muito bom;Localização ótima, todavia por ser um hotel antigo, não tinha ducha higiênica e estava entrando mau cheiro pelo ralo. Café bom;;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Bom;O espaço do quarto é ótimo e a localização é excelente;Café da manhã ruim, poucas opções e comidas frias. Achei a cama muito mole, mas há quem goste.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Muito bom;Não gostei da academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gostei dos funcionários.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Tendo oportunidade voltarei com certeza;Localização, atendimento das pessoas excelente e quartos amplos;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Localização muito boa. Perto da praia, restaurantes e bares.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Hotel atende nos requisitos principais: Boa localização;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A decepção foi que a Recepção não tem acesso as câmaras e só recebeu a reclamação para repassar a Gerência do Hotel que chegaria somente no outro dia; pela manhã. No dia 26mar( quarta-feira) pela manhã; já fazendo o check out; a Recepção ainda não tinha resposta sobre nossa mala; nem o Gerente tinha chegado ao Hotel para verificar as câmaras; etc; etc...Enfim; até agora; ainda não recebemos do Hotel;" qualquer situação sobre a recuperação da nossa mala.""";7;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;A localização é excelente.;nada a reclamar;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito Boa e Tranquila;Café da manhã, Muito Bom, Localização mercado na frente do Hotel, praticidade, Padaria proxima, academia proxima, perto do aeroporto e facil localização;;7;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Bom.;Hotel bem localizado permitindo ir à pé até a praia. Quarto amplo com cama bem grande. Ar-condicionado eficiente. Bom café da manhã. Estacionamento pago à parte. Cheiro ruim proveniente do ralo do banheiro. Fiquei no 12° andar, o elevador só vai até o 11° andar.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
31 de março de 2025;Bom;Localização boa, ar condicionado bom, café da manhã simples, mas com os itens necessários.;O cartão do quarto desmagnetiza o tempo todo, o estacionamento achei em um local sem muita segurança e manobrista demorado e não muito simpático. O valor é caro para deixar em um estacionamento que achei com pouca segurança. ;;;;;;;;;;;;;;;;;;;;;;;;;;
O exaustor do banheiro não consegui desligar. No meu quarto resolveu fechando a porta;" mas vi alguns hóspedes reclamando do barulho.""";7;;;;;;;;;;;;;;;;;;;;;;;;;;;
31 de março de 2025;Bom;Localização, café da manhã simples mas gostoso. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ar condicionado novo e um bom banho.""";O prédio do hotel precisando de reforma e os quartos também, porque tem um cheirinho de mofo. Melhorar cortinas e lençóis.;7;;;;;;;;;;;;;;;;;;;;;;;;;;;
31 de março de 2025;Achei bom!;O recepcionista foi bem atencioso no check-in, o quarto atende perfeitamente. Só achei o café da manhã simples, com poucas opções e o suco poderia ser da fruta, pq vocês colocam o suco industrializado.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
31 de março de 2025;Boa opção de hospedagem.;Ótima localização e funcionários bem solícitos.;O café da manhã e a cama poderia melhorar.;8;;;;;;;;;;;;;;;;;;;;;;;;;
31 de março de 2025;Nada a declarar;Cama;Tinha uma barata enorme andando na minha cama, matei e passei o resto da noite acordada e pensando em aparecer outras;6;;;;;;;;;;;;;;;;;;;;;;;;;
