data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
16 de abril de 2023;Tranquila;Quarto confortável e café da manhã adequado ao valor da estadia! Ótima localização!;tudo perfeito!;10;;;;;;;;
27 de março de 2025;Relação custo benefício ruim;Localização;Preço cobrado não condiz com o que entrega;6;;;;;;;;
24 de março de 2025;Gostei;Bem receptivos, café da manhã sortido e localização excelente;Móveis e equipamentos desgastados;7;;;;;;;;
19 de março de 2025;Muito bom;Gostei da localização e do quarto;Tive problemas com o cartão de acesso ao quarto;8;;;;;;;;
18 de março de 2025;Satisfatório;Quarto com tamanho bom, bem confortável, muito limpo, aconchegante. Chuveiro muito bom, ducha generosa. Atendeu bem.;O quarto que fiquei (120) tinha uma janela no quarto que dava um área de luz em que também se encontrava o exaustor da cozinha do hotel. O café da manhã se iniciava ás 6:30 da manhã e lá pelas 5:30 começava um barulho bem barulho vindo desse exaustor. Isso atrapalhou bastante o sono.;8;;;;;;;;
17 de março de 2025;Muito bom;Localização;Não tem elevador;8;;;;;;;;
11 de março de 2025;Bom local para se hospedar com uma boa localização.;Boa localização, bom hotel, vale o custo.;Chuveiro fraco na pressão da água.;7;;;;;;;;
6 de março de 2025;Satisfatório;;Ar condicionado não supria a demanda do quarto. Chuveiro ruim, não existe comunicação com a recepção através de telefone, temos que descer dois lances de escada para tirar uma simples dúvida.;6;;;;;;;;
6 de março de 2025;Satisfatório;Funcionários simpáticos e educados. Limpeza agradável. Perto da praia e restaurantes.;A cama é muito desconfortável, não consegui dormir direito.;6;;;;;;;;
6 de março de 2025;Acomodacão modesta em ótima localização;Localização e café da manhã honesto;A estrutura do hotel está muito desgastada, precisando de uma reforma urgente.;7;;;;;;;;
4 de março de 2025;Muito bom;A localização é perfeita;Sabe aquele ambiente que precisar lavar com quiboa urgente ? E precisa de lençóis novos ? É lá , fora que tudo tem mofo … enfim , um lugar que se fosse reformado , pela localização, compensaria;8;;;;;;;;
26 de fevereiro de 2025;Satisfatório;Localização;Toalhas com cheiro ruim, falta de tomadas no quarto, ar condicionado muito barulhento;6;;;;;;;;
22 de fevereiro de 2025;Custo benefício muito bom para uma diária;Localização;;6;;;;;;;;
22 de fevereiro de 2025;Satisfatório;Localização;Do tamanho da copa muito pequena e o horário do café considero 6:30 da manhã é um início tardio,principalmente, para quem precisa sair mais cedo para não chegar atrasado.;6;;;;;;;;
20 de fevereiro de 2025;Bom;Localização e educação dos empregados.;Não tem elevador. Foi preciso carregar as malas por 2 andares sem o auxílio de ninguém. Café da manhã bem fraco. Apesar de colocarem a existência de estacionamento privativo, reparei que existem tão somente 3 vagas na porta do hotel. Para mim e minha esposa, o pior foi não ter elevador e subir as malas sozinhos.;7;;;;;;;;
18 de fevereiro de 2025;Muito bom;;Não tinha amenidades no quarto, cesto de lixo com o pé quebrado e café da manhã com poucas variedades.;8;;;;;;;;
18 de fevereiro de 2025;Muito bom;Excelente localização e fui bem atendida pelos funcionários.;;8;;;;;;;;
13 de fevereiro de 2025;Ruim;Da localização;Da escada dentro do quarto. Com um degrau exatamente no umbral da porta, que não é visível de fora. E a atendente não nos avisou do perigo. Quase tivemos uma queda feia. Nunca vi nada assim na minha vida.;6;;;;;;;;
8 de fevereiro de 2025;Muito bom;Da localização;A demora para receber a nota fiscal da hospedagem, e não recebi a nota fiscal do consumo;8;;;;;;;;
4 de fevereiro de 2025;Vale o custo beneficio para estadias pequenas e pela localização.;A localização do hotel é ótima.;O hotel é antigo, nada foi modernizado. Isso inclui tomadas, pinturas, móveis, janelas etc. O quarto parecia limpo mas como tinha parede e janela encardida, dava um aspecto de sujo.;6;;;;;;;;
3 de fevereiro de 2025;Boa localização.;A localização é ótima.;De fato o hotel precisa de mais cuidado devido a umidade nos quartos. Não estava sujo, a cama até é boa mas o mofo incomoda devido a falta de ventilação precisam dar atenção a esse aspecto. O hotel tem tudo pra ser ótimo!;7;;;;;;;;
31 de janeiro de 2025;precisa melhorar pelo valor cobrado.;atendimento ok, pessoal prestativo.;falta de uma coberta leve no quarto,;;;;;;;;;
falta pão de queijo no café.;;;;;;;;;;;;
sistema de cobrança injusto; sendo que passei dois dias - com preços de alta lotação e domingo avaliando preços;" estava menor no site.""";7;;;;;;;;;
27 de janeiro de 2025;Muito bom;OS RECEPCIONISTAS, MUITOS ATENCIOSOS E SOLÍCITOS.;DA COMUNICAÇÃO VIA WHATSAPP, ANTES DA ESTADIA.;8;;;;;;;;
24 de janeiro de 2025;Boa, atendeu nossas expectativas.;Boa localização;;8;;;;;;;;
19 de janeiro de 2025;Aceitável!;Sucos podiam ser naturais;o quarto podia ser em um nível só;8;;;;;;;;
19 de janeiro de 2025;Hotel que atende para estadias curtas.;Funcionários educados e cordiais. Quarto estava muito limpo. Fica a uma quadra da Praia da Boa Viagem e próximo a uma padaria excelente, que serve até mesmo almoço e jantar. Café ok, simples mas que atende quando se está em estadias curtas como a nossa. Não ter elevador é um contra, mas os funcionários são instruídos a levar as malas.;Não ter elevador. Poucas tomadas no quarto. Café bem simples. Não tem estacionamento mas foi tranquilo estacionar em frente ao hotel porque chegamos de madrugada. Acredito que se chegar durante o dia, haja muito mais dificuldade porque está muito próximo à orla de Boa Viagem.;7;;;;;;;;
15 de janeiro de 2025;Bom;Fica próximo da praia, quarto grande...;O chuveiro do quarto onde fiquei estava queimado, não tinha água quente. Avisei na recepção e mesmo assim não arrumaram ou nós colocaram em outro quarto.;7;;;;;;;;
10 de janeiro de 2025;Muito bom;Funcionários bem proativos e gentis. O quarto muito agradável.;De ter que ir embora rsrsrs;8;;;;;;;;
5 de janeiro de 2025;Bom;Café da manhã, localização;Não tem estacionamento;7;;;;;;;;
5 de janeiro de 2025;Apesar de estranho o lugar do quarto, ele em si é muito bom;Quarto amplo;Estranho o lugar do quarto;8;;;;;;;;
4 de janeiro de 2025;Ótima localização;O Ar condicionado não funcionou muito bem;Da equipe de funcionários;8;;;;;;;;
3 de janeiro de 2025;Satisfatório;A localização próximo a praia e aos restaurantes;Do atendendo, no dia do checkout pedi a NF me informaram que estaria disponível dentro de 48hs, sendo que em outros hotéis sempre sai no checkout. Sai do hotel no dia 18/12/24 a até o momento 03/01/25 não me enviaram nada ainda;6;;;;;;;;
30 de dezembro de 2024;O que vale mesmo é a localização.;Café da manhã simples, mas bom. A localização é o melhor do hotel.;Escada com degraus curtos. Chuveiro ruim. Prédio precisa de reforma. Cama antiga.;7;;;;;;;;
27 de dezembro de 2024;Uma das opções mais em conta na Boa Viagem;O hotel é muito bem localizado, duas quadras atrás da orla da Boa Viagem. O atendimento foi ótimo, tanto na recepção, como na sala do café da manhã e quanto à limpeza e arrumação do quarto. Embora pequeno, o quarto estava limpo e o banheiro muito confortável. O café da manhã tem bastante opções.;Infelizmente, o quarto não era tão silencioso, nem tanto pelo barulho vindo da rua - inclusive, bem tranquila - mas pelo barulho do ar condicionado de outros quartos. A sala do café da manhã é um pouco apertada.;6;;;;;;;;
24 de dezembro de 2024;conforto e comodidade;Excelente atendimento , desde a recepção as camareiras.;nada a declarar.;8;;;;;;;;
23 de dezembro de 2024;Bom;Móveis velhos e não há elevador;Atendimento dos funcionários;7;;;;;;;;
23 de dezembro de 2024;Mediana;A localização é ótima. Próximo da praia de boa viagem e próximo a;;;;;;;;;;
 Vários restaurantes;" farmácias e padarias.""";Os quartos são antigos. Para passar apenas uma;;;;;;;;;;
Noite é ok. Mas próximo ao;;;;;;;;;;;;
"Hotel tem outros com preços semelhantes e melhores.""";6;;;;;;;;;;;
12 de dezembro de 2024;Bom;gostei do atendimento dos funcionários e também proximidade da praia.;quartos são velhos e com limpeza ruim, chuveiros muito ruins com buracos entupidos e sujos.;7;;;;;;;;
2 de dezembro de 2024;custo beneficio bom;Localização e bom atendimento;o valor;8;;;;;;;;
1º de dezembro de 2024;Estadia nota 6.;#NOME?;#NOME?;;;;;;;;;
#NOME?; pães e salgados).;;;;;;;;;;;
#NOME?;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;
"- Falta de tomadas nas duas laterais da cama q tb contenham entrada USB""";6;;;;;;;;;;;
29 de novembro de 2024;Excelente custo benefício! Super recomendo!;Ótima localização! Ambiente muito limpo! Bom café da manhã, com o horário excelente!;Podeira ter um refil de xampu.;8;;;;;;;;
28 de novembro de 2024;Boa localização, bons funcionários, mas sem elevador e um café da manhã muito fraco.;Boa localização e bons funcionários.;Prédio sem elevador e com café da manhã fraco.;7;;;;;;;;
28 de novembro de 2024;Hotel com boa localização, bons funcionários, mas sem elevador e sem um bom café da manhã.;É uma boa localização, perto de tudo, funcionários educados e receptivos.;Prédio não tem elevador, subimos as escadas com muitas malas, sorte que são dois andares. Café da manhã fraquíssimo, só o básico mesmo, e não há reposição a todo momento, quando acaba temos que ficar pedindo na cozinha.;7;;;;;;;;
23 de novembro de 2024;Muito bom;localização;pequena as acomodaçoes;8;;;;;;;;
23 de novembro de 2024;Precisa frutas no café da manha;Da cama;Frigobar estragado.;;;;;;;;;
Suco de Tang no café da manhã. ;;;;;;;;;;;;
"Não consigo admitir que neste país tropical e principalmente nesta região de frutas doces e abundantes um hotel sirva suco de pacotinho e não ofereça grande variedade de frutas.""";8;;;;;;;;;;;
21 de novembro de 2024;Satisfatório;da localização;sem acessibilidade, muita escada, os quartos e bainheiro com batentes;6;;;;;;;;
20 de novembro de 2024;Satisfatório;A equipe muito gentil e atenciosa, bem receptivos;O prédio em si é bem antigo, não é muito confortável;6;;;;;;;;
10 de novembro de 2024;Muito bom;;Não tem estacionamento! Então tem elevador.;8;;;;;;;;
5 de novembro de 2024;Custo benefício òtimo!;achei a localização excelente e muito bom o café da manhã.;;8;;;;;;;;
23 de outubro de 2024;Satisfatório;Localização!;Só a dormida não foi tão legal, e o café da manhã poderia ser um pouco mais variado.;6;;;;;;;;
23 de outubro de 2024;Boa;Localização;Não ter ducha no banheiro;7;;;;;;;;
21 de outubro de 2024;Para quem não exige luxo e está numa estadia rápida, o apartamento atende às espectativas.;O café da manhã é muito simples. Poderia ter mais opções. Quanto à localização, é muito boa pois atendeu os meus propósitos. Não muito distante da praia, há restaurantes por perto.;Para as pessoas que necessitam de acessibilidade, falta um elevador. Acredito que, para um maior conforto, o meu apartamento poderia estar pintado. Quanto ao mobiliário, o guarda roupa, além de ser velho e antiquado, não tinha cabides para pendurar a roupa.;7;;;;;;;;
