data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota
19 de novembro de 2024;Estadia excelente! Recomendo!;Eu e a Danielle (minha companheira) gostamos bastante da estadia, pois tivemos um ótimo atendimento, além de conforto e limpeza impecáveis. Sendo assim, recomendamos a estadia à comunidade do Booking.;Não teve nada a desejar. Nada mesmo. Pois, de modo geral, tivemos uma excelente experiência de estadia no Suítes Residence. Diante disso, recomendamos sem sombra de dúvidas a hospedagem à comunidade do Booking.;10
30 de março de 2025;Muito bom;Local pra uma noite, com a familia, mas quarto bastante simples. Bastante caro pela sua simplicidade.;;8
24 de março de 2025;Bom;Quartos novos , estrutura boa e bem próximo do aeroporto;Achei muito fechado pouca ventilação;7
20 de março de 2025;custo beneficio okay;as fotos do interior são como realmente é o cômodo, localização okay, apesar de ter uma subida grande, melhor sempre pegar taxi. custo beneficio compensa!;café da manhã deixou a desejar, o esquema de entregar tudo de uma vez não é tão pratico assim.;
as camas são de molas o que não gostei. ;;;;
do lado de fora poderia ter uma ducha; tem uma torneira pra limpar os pés. porem nada comparado com tirar toda a areia antes de entrar no quarto. A cozinha molha facilmente; pois a pia é bem pequena;" portanto recomento ter uns tapetes e pano de chão para essa limpeza.""";6
17 de março de 2025;Bom custo benefício;Boa localização e ótimo custo benefício, café da manhã bom;A cama não era de casal, eram 2 de solteiro juntas;9
17 de março de 2025;Bom;Café da manhã, localização próximo ao aeroporto;Limpeza quarto e muito próximo da cozinha, pouco isolamento acústico;7
12 de março de 2025;Fantástico;Muito bom, a estadia é os funcionários a tenciosos ;;
"Parabéns- recomendo.""";;9;;
17 de fevereiro de 2025;Muito bom;Os funcionários e o café da manhã são excelentes;Um cheiro de esgoto vindo do banheiro;8
15 de fevereiro de 2025;Fantástico;O atendimento foi excelente;;9
13 de fevereiro de 2025;Muito bom;O quarto é pequeno, mas confortável o suficiente para uma noite. O café da manhã estava delicioso, e o ar-condicionado fez uma grande diferença nas noites quentes.;O local possui apenas 4 vagas de estacionamento rotativas. Tivemos sorte de conseguir a última vaga, mas se todas estivessem ocupadas, teria sido um problema para a gente. Além disso, não há elevador, mas a equipe nos ajudou a subir com as malas.;8
10 de fevereiro de 2025;Fantástico;Muito próximo ao aeroporto.;;9
29 de janeiro de 2025;Custo benefício;Aproximidade do aeroporto para quem está só de passagem;Nada em específico;8
28 de janeiro de 2025;Muito bom;Das acomodações;Do estacionamento;8
27 de janeiro de 2025;Um bom lugar de passagem !;Localização próxima de Comércios, a Praça de Boa Viagem fica à alguns metros do local, café da manhã bom, bem como seus Funcionários, em especial o Sr. Eduardo que nos foi muito receptivo e disposto em nos ajudar em algumas necessidades.O;"O Estacionamento é de ""quem chegar primeiro "", pois não há vagas disponíveis.";7
27 de janeiro de 2025;Boa relação qualidade-preço;Simpatia e disponibilidade dos funcionários ;;
O pequeno-almoço é bem servido ;;;;
"Cama confortável""";Localização um pouco insegura;7;;
27 de janeiro de 2025;Muito bom;Acomodação boa, ar condicionado ok, banheiro bom, entorno tem mercado, é próximo ao aeroporto, restaurante com comida barata e padaria.;A localização de inicio assusta, porque bem em frente é meio esquisito. Faltou a limpeza no quarto, ficamos dois dias.;8
26 de janeiro de 2025;Muito bom;;Falta de ventilação natural no quarto.;8
19 de janeiro de 2025;Boa estadia;Funcionarios prestativos;;
"Ótimo café da manha""";Localização um pouco perigosa;;;
"Uma das tomadas nao pegava""";8;;;
16 de janeiro de 2025;Boa.;Quarto limpo e confortável.;Não ter janela.;9
7 de janeiro de 2025;Ok.;Do atendimento e boa vontade dos funcionários;Achei um valor de diária alto para a qualidade das instalações.;7
5 de janeiro de 2025;Muito bom;Superou minhas expectativas. De verdade. Fui para passar uma noite e ir para Porto de Galinhas, adorei!;;
Custo benefício; atendimento das meninas; segurança Sr Jailson e um café da manhã maravilhoso. Digno de hotéis com mais estrelas .;;
"Obrigada!""";;8;;
1º de janeiro de 2025;Bom;Presteza no atendimento.;Wi-fi muito ruim, não chegava no quarto.;7
1º de janeiro de 2025;Fantástico;Gostei muito do café da manhã, da limpeza e dos funcionários. Muito bom.;Não sei informar do que não gostei;9
25 de dezembro de 2024;Bom;O quarto é bem aconchegante.;Havia um quarto com muito barulho de som alto e ninguém do hotel se preocupou. O chuveiro não esquenta muito. O tinha pão do café da manhã mofado e começava às 7h, mas as 7h ainda estavam organizando o café, o que dificulta para quem tem compromisso.;7
22 de dezembro de 2024;Muito bom;Próximo ao aeroporto;;8
21 de dezembro de 2024;Bom;Limpeza, quarto funcional e confortavel, funcionários simpáticos;Escadas para subir e descer com malas, quarto sem janelas;7
2 de dezembro de 2024;MUITO BOA;LOCALIZAÇÃO MUITO BOA.;;
AMBIENTE TRANQUILO.;;;;
"CAFÉ DA MANHÃ BOM.""";;8;;
27 de novembro de 2024;Satisfatório;proximidade com o aeroporto;acústica dos quartos;6
27 de novembro de 2024;Suficiente pra passar uma noite como fizemos .;A localização é ótima, os funcionários simpáticos, e estava tudo bem limpo, chuveiro bom.;O espaço para café é pequeno, e achei o preço alto pela acomodação, acredito que seja pela localização que é muito boa.;6
25 de novembro de 2024;Eu não voltaria;Localização boa e recepção atenciosa;Quarto precisa de reforma, banheiro com revestimento em más condições, cama muito dura.;6
24 de novembro de 2024;Muito bom;Dá limpeza e conforto;Nada;8
20 de novembro de 2024;Estadia boa e confortável, exceto pela falta de elevador.;Localização ótima, ao lado do aeroporto, com fácil acesso.;A limpeza do banheiro.;7
19 de novembro de 2024;Hotel ok;Atendimento bom. Preço.;Não ter elevador . O quarto estava com cheiro de cigarro. Travesseiros muito alto, fiquei com dor no pescoço;7
5 de novembro de 2024;Ótima;Muito boa;Nada;8
29 de outubro de 2024;bem;achei muito fraco;variedade;7
24 de outubro de 2024;Um bom quebra-galho;Gostei do atendimento e da localização do hotel. O café da manhã foi bom, farto e completo para o meu gosto. A recepção 24h também é algo bastante positivo.;A cama era desconfortável e os travesseiros bem desgastados (Precisam ser substituídos por outros de melhor qualidade e, consequentemente, durabilidade). Achei o preço um pouco salgado para o que foi oferecido.;7
19 de outubro de 2024;Bom custo benefício;Atendimento da Equipe e o bom custo benefício.;O colchão estava com um buraco no meio.;8
9 de outubro de 2024;Estadia com funcionários muito simpáticos.;Café da manhã;Banheiro;8
7 de outubro de 2024;Satisfatório;Custo benefício;Quarto pouco ventilado, com um pouquinho de cheiro de mofo.;6
4 de outubro de 2024;Hotel dentro dos padrões esperados;A limpeza e a organização dos ambientes e, especialmente, do quarto.;Achei a acústica do segundo andar meio ruim.;8
1º de outubro de 2024;Hospedagem Suíte Residence;da proximidade do aeroporto;Hotel mais velho. Banheiros mais antigos;8
28 de setembro de 2024;Muito bom;Estadia muito boa;O café da manhã, precisa melhorar as frutas, mais opções de pão. ;
Exposição dos talheres ; precisa de mais higiene; ao invés de colocar solta nas mesas;" envolver no guardanapo ou voltar nos saquinhos.""";8
26 de setembro de 2024;Bom;Camas confortáveis, funcionários atenciosos, fácil de localizar, próximo a restaurantes.;Internet ruim, pouca conexão.;7
26 de setembro de 2024;Muito boa;A equipe é muito prestativa;;8
