data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
20 de janeiro de 2024;Excepcional;Próximo de tudo, muito organizado. Limpeza impecável.;;10;;;;;;;;
3 de abril de 2025;Confortável.;Localização, limpeza do quarto.;Restaurante;8;;;;;;;;
2 de abril de 2025;Hotel limpo e aconchegante;Quartos limpos e cama super confortável ,café da manhã muito bom;Por duas vezes os funcionários tentaram entrar no quarto abriram a porta com gente dentro achei um pouco invasivo pois deveria ter batido a porta e perguntado se tinha alguém.;9;;;;;;;;
1º de abril de 2025;Atendeu as necessidades;Ficamos hospedados apenas uma diária. O quarto é ok, bem pequeno, mas atendeu as necessidades. Café da manhã ok também, não tem muitas opções e variedades mas atende o necessário.;O quarto não tem janela, somente no banheiro. Quando chegamos o quarto estava com mal cheiro bem ruim, mesmo com a limpeza, e por isso ficamos incomodados. Um dos copos disponível no quarto estava sujo, parecia não ter sido higienizado para o próximo hospede.;7;;;;;;;;
30 de março de 2025;Na média, nada de especial;Da qualidade do quarto, tem uma estrutura ótima.;Do cafe da manhã é bem simples, e a TV não funciona as funções smart, não é possível ver Netflix ou outras atrações;7;;;;;;;;
30 de março de 2025;suficiente;hotel tem uma localização excelente, 10 min andando da praia e viagens rápidas de uber até o centro histórico de recife e olinda. ;;;;;;;;;;
atendimento excelente; todos muito simpáticos e solicitos. ;;;;;;;;;;;
o café da manhã é bem fraquinho; deixou bastante a desejar. o box do meu quarto estava vazando água para todo o banheiro e não parecia ser um problema recente; pois o batente da porta já estava até com marca de mofo. outro ponto negativo é que o hotel não tem bebedouro disponível.;;;;;;;;;;
"é um bom hotel mas não vale o preço que cobram.""";;8;;;;;;;;;;
29 de março de 2025;Muito bom;Foi uma passagem rápida, as instalações atendem às necessidades, gostamos do café da manhã, estrutura e localização. Tomamos café relativamente cedo então estava bastante acessível.;Sentimos falta de um pouco de espaço, mas p uma estadia rápida td ok.;8;;;;;;;;
24 de março de 2025;Fantástico;Localização;Ambiente do café;9;;;;;;;;
24 de março de 2025;Estadia boa. Porem a acústica do Hotel precisa melhorar muuuuito;Os funcionários sao muito educados. Café da manhã é otimo. O Quarto é bem confortável (cama boa e chuveiro bom). Banheiro espaçoso.;A acústica é horrível. Escuta-se tudo o que ocorre nos quartos ao lado. Isso atrapalha muito o sono. Inclusive foi isso que fez a minha avaliação ser mais baixa.;7;;;;;;;;
23 de março de 2025;Muito boa, porém, precisa melhor no café da manhã!;O hotel é novo;;;;;;;;;;
22 de março de 2025;Bom custo benefício;Localização e café da manhã;Ar condicionado apontando para a cama.;8;;;;;;;;
21 de março de 2025;Bom;;O ar condicionado parou de funcionar no meio da madrugada, só ficou ventilando.;7;;;;;;;;
21 de março de 2025;Hotel atende expectativa de público executivo falta manobrista;Bom atendimento na recepção, café da manhã bom, apartamento ok.;NÃO TEM MANOBRISTA UM ABSURDO PARA UM HOTEL DESTE NÍVEL E QUE COBRA O ESTACIONAMENTO.;;;;;;;;;
;;;;;;;;;;;;
"O apartamento entrega o que propõe mas tem um erro gravíssimo de projeto no tocante ao ar condicionado que fica direcionado direto na pessoa. Isto é tão evidente que o hotel colocou um difusor externo para desviar o fluxo de ar.""";8;;;;;;;;;;;
19 de março de 2025;Bom;Atendimento muito bom e rápido . Localização perfeita;Café da manhã muito fraco sem opção;7;;;;;;;;
17 de março de 2025;Bom custo benefício;No geral o hotel é confortável para uma estadia rápida. O colchão da cama era muito bom!;Do restaurante. Tudo mais ou menos. O serviço desatento!;8;;;;;;;;
16 de março de 2025;Muito bom;Gostei do atendimento, da localização e estrutura do hotel;Não gostei da higiene das roupas de cama, no quarto em que estava tinham manchas de sujeito no lençol e nas fronhas do travesseiro. Eram muitas manchas e me deixou um pouco desconfortável;8;;;;;;;;
14 de março de 2025;Hospedagem;Localização, próximo ao shopping Recife;Café da manhã - pouca variedade ;;;;;;;;;
Canais de TV - pouquíssimos canais;;;;;;;;;;;;
Ar condicionado - Posição horrível no quarto ;;;;;;;;;;;;
Demora para substituição das toalhas; inclusive;" não substituição da toalha de rosto""";7;;;;;;;;;
11 de março de 2025;BOA;PRINCIPALMENTE DA COLABORADORA PAMELA DO 5 ANDAR, MUITO ATENCIOSA E COMUNICATIVA.;QUARTO MUITO PEQUENO;7;;;;;;;;
11 de março de 2025;Bom;O café da manhã era razoável e foi o menos ruim no contexto.;Quarto muito pequeno, com pouco conforto.;7;;;;;;;;
10 de março de 2025;Boa estadia no carnaval;Básico e bom.;;;;;;;;;;
"Chuveiro e camas ótimos""";Um dos piores cafés da manhã da minha vida. Tudo muito ruim de sabor.;8;;;;;;;;;;
8 de março de 2025;Rápida;Atende;;7;;;;;;;;
8 de março de 2025;Recomendo!;Bom custo benefício;O ar condicionado não estava funcionando tão bem;8;;;;;;;;
5 de março de 2025;Transamerica Fit;Confortável. Único senão é o barulho do ar condicionado antigo......;;8;;;;;;;;
1º de março de 2025;Boa 🤝;Quarto estava muito organizado e limpo.;Faltou: ;;;;;;;;;
Serviço de estacionar o carro;;;;;;;;;;;;
Ferro de passar;;;;;;;;;;;;
"Secador de cabelo""";7;;;;;;;;;;;
28 de fevereiro de 2025;Ótima;Instalações;;9;;;;;;;;
24 de fevereiro de 2025;Muito agradável;Ótima estrutura do hotel, as instalações, tudo novinho e bem equipado. ;;;;;;;;;;
Funcionários prestativos e educados. ;;;;;;;;;;;;
"Serviço do restaurante ótimo também""";Único ponto que ficou a desejar foi no último café da manhã que os pães de queijo eram do dia anterior;9;;;;;;;;;;
24 de fevereiro de 2025;Muito bom;Quartos limpos, tamanho ideal para uma pessoa;;;;;;;;;;
"Cama confortável""";O café da manhã poderia ser um pouco melhor;8;;;;;;;;;;
23 de fevereiro de 2025;Uma boa acomodação;Estrutura boa e funcional;▪︎ Funcionários poucos empáticos ;;;;;;;;;
▪︎ Ar condicionado do quarto fraco; poderiam melhorar;;;;;;;;;;;
▪︎ O local onde é servido o café da manhã e minúsculo; considerando o tamanho do hotel; esse foi um ponto realmente decepcionante para nós ;;;;;;;;;;
▪︎ Estacionamento é cobrado uma tarifa diária de 20;0; e é tão discreta essa informação que você só fica sabendo no local;" se não prestar muita atenção""";7;;;;;;;;
22 de fevereiro de 2025;Fantástico;A tranquilidade do local e o estado de conservação das instalações.;O café da manhã aparentava mais variedade pelas fotos.;9;;;;;;;;
19 de fevereiro de 2025;Bom;Equipe recepção e limpeza muito atenciosos. ;;;;;;;;;;
"Localização excelente.""";Tamanho dos quartos. Café da manhã. Toalhas. Restaurante.;7;;;;;;;;;;
19 de fevereiro de 2025;Muito bom;A estrutura do hotel.;Café da manhã e a piscina que não estava própria para o uso, com água turva e o piso sujo.;8;;;;;;;;
18 de fevereiro de 2025;Boa;Mais ou menos!;Fui colocada num quarto que não tinha Box…só cortina…molhava o banheiro todo. E tbm achei o café da manhã ruim…poucas opções e pouco saboroso;8;;;;;;;;
17 de fevereiro de 2025;Melhor que o esperado.;O quarto é muito bom. Funcionários muito simpáticos e atenciosos.;O café da manhã poderia melhorar na variedade do que é oferecido.;8;;;;;;;;
17 de fevereiro de 2025;HOTEL AGRADÁVEL, LIMPO, ORGANIZADO, COM CAFÉ DA MANHA MUITO BOM.;No geral gostei de tudo;Café da manhã bom. Faltou apenas uma tapioqueira fazendo a tapioca na hora, quentinha.;;;;;;;;;
Não gostei do sanduiche que pedi a noite;" do restaurante.""";9;;;;;;;;;;
17 de fevereiro de 2025;Fantástico;Localização é ótima. Perto de Supermercado, Shopping e do Aeroporto. Quarto Pequeno, porém suficiente para duas pessoas. O banheiro muito bom também. Café da Manhã é honesto.;;9;;;;;;;;
16 de fevereiro de 2025;Boa, voltaria.;Flexibilidade em reduzir o horário de início do café da manhã.;Informação desencontrada quanto ao parcelamento… embora o booking fale em 3x o hotel não dividiu inventando uma parcela mínima.;9;;;;;;;;
16 de fevereiro de 2025;Fantástico;Quarto espaçoso, limpeza e roupa de cama.;O espaço para o cafe da manhã pequeno e demorou muito para fazer a reposição.;;;;;;;;;
"Tínhamos q fazer fila de espera para tomar café.""";9;;;;;;;;;;;
15 de fevereiro de 2025;Faltou sinceridade quanto a reserva para acomode três em um quarto;Conforto e atendimento.;Reservamos um quarto para dois adultos e uma criança recém completo 12 anos. Quando chegamos no quarto apenas uma cama de casal. Logo, tivemos que gastar com mais um quarto. E, quando recebemos o segundo quarto a cama era king, logo caberiam os três. Quando perguntei sobre a possibilidade colchão ou outra cama maior, disseram que não tinha, mas quando locamos outro, a cama era maior???? Logo, nos sentimos enganados.;7;;;;;;;;
14 de fevereiro de 2025;Um bom hotel em Recife.;O Hotel é muito bom, ja estive nele antes e foi muito positivo a hospedagem, tanto que voltei. Porém dessa vez nao atendeu a expectativa. Encontramos uma barata morta no banheiro ao chegarmos, mas o ponto mais negativo foi que a internet nao funcionou (hospedamos no quarto 107). Fiz uma solicitacao na recepcao informando que nao estava funcionando, a atendente disse que chamaria o suporte, mas continuamos totalmente sem internet. Pena.😕;Nao teve internet durante a hospedagem. Mesmo com reclamacao na recepcao.;7;;;;;;;;
10 de fevereiro de 2025;Excelente o atendimento na recepção, nas arrumadeiras e o pessoal do café da manhã. Todos extremamente atenciosos.;Regular . Quarto com acessibilidade com extrema dificuldade de locomoção . Ida ao banheiro;Não ter uma cadeira higiênica para tomar um banho decente, foi a minha grande decepção. Com este fato não poderei me hospedar mais no hotel;8;;;;;;;;
