data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
8 de novembro de 2024;Excepcional;O café da manhã estava maravilhoso e a localização do hotel para o centro é muito boa!;;10;;;;;;;;
25 de março de 2025;Muito bom;Gostei do designe do quarto, tinha uma escada subindo pro quarto, achei o sistema de privacidade dos quartos excelente. A climatizaçao do quarto otima, limpeza excelente. Funcionarios bastante atenciosos, simpaticos passando todas informações de maneira tranquila e esclarecida. Me senti muito bem atendida. Localização otima, perto de mercado, drive thur, praça, a poucos minutos da praia. Locação aceita pets. Gostei da minha estadia, desejo ir mais vezes pra passar mais dias;Não sei se foi o quarto em que fiquei, mas eu não consegui regular a agua do chuveiro, caso simples kkk. Tambem não encontrei muitas opções de tomada perto da cama;8;;;;;;;;
25 de março de 2025;Muito bom;Localização;Café da manhã;8;;;;;;;;
20 de março de 2025;Muiyo Barulho nos corredores, ficando difícil descansar período do dia.;Localização;Um dos Funcionários, que trablaha noturno, nada cordial, solicitei um travesseiro para melhor conforto inventou uma história que estava na lavandeira negando-se assim a fornecer, o mesmo funcionário, negou-se se a auxiliar a por o carro nagaragem, mentindo que.o carro a frente entraria também querendo entrar na garagem, fato confirmado que.era mentira ao perguntar ao.motorista ficamdo assim com meu carro parado na via principal correnso riaco de acidente;7;;;;;;;;
19 de março de 2025;Muito baralho ao lado do quarto, ficando difícil descansar naparte da manhã.;Localização;Uns doa funcionários, hostil, sem simpatia, ao solicitar um travesseiro para melhor conforto destes hóspedes, inventtou uma história e negou-se a dar. O mesmo funcionário qur trabalha do turno noturno negou-se a ajudar para por carro na garagem, faltando com a verdade que um carro que que encontrava- na via, frente ao hotel iria estacionar, ficando este hospede pada na via principal aguardando para estacionar no estacionamento do hofel;7;;;;;;;;
15 de março de 2025;Muito bom;Localização, limpeza e café da manhã;Tolhas velhas;8;;;;;;;;
2 de março de 2025;Muito boa;Da localizacao;Horario do cafe da manhã iniciando apenas as 6:30hs;8;;;;;;;;
26 de fevereiro de 2025;Localização boa, mas o hotel precisa cuidar da experiência do hóspede.;A localização é muito boa, fica em Boa Viagem e próximo a restaurantes, bares, delegacia, academia e mercado.;A toalha disponibilizada foi horrível, muito velha quase transparente. Soltando lã, se decompondo. ;;;;;;;;;
Equipe cansada e muito aterafada;" muitas demandas para pouca gente executar.""";7;;;;;;;;;;
21 de fevereiro de 2025;O custo benefício não é bom, porque a diária é cara. Mas atende o básico! Outra nota ruim é a quantidade de moradores de;Tamanho do quarto e a ducha é boa.;A limpeza é ruim e os colchões são ruins demais, já passaram da validade.;8;;;;;;;;
20 de fevereiro de 2025;Bom custo benefício;Localização perfeita;O café da manhã;8;;;;;;;;
14 de fevereiro de 2025;Preço justo pelo que entrega..;A localização é muito boa. Mas não pude conhecer melhor a estrutura do hotel, pois viajei a negócios.;O hotel não possui estacionamento e o tempero do café da manhã não é legal.;8;;;;;;;;
13 de fevereiro de 2025;Custo benefício razoável.;O custo benefício do hotel e bom. Ficamos apenas uma noite para descansamos de conexão entre voos. O hotel e razoavelmente perto do aeroporto.;As instalações do hotel precisariam de melhorias e o café da manhã poderia ser melhor.;6;;;;;;;;
12 de fevereiro de 2025;Vale o custo benefício;Localização boa, fácil acesso, bem organizado, café da manhã rasuavel.;Tem um corrego na frente do hotel tem um mal cheiro, o hotel não tem estacionamento, já fui sabendo, porém ao redor também não é fácil encontrar um, fui a noite só pra dormir ao chegar o recepcionista simpático por sinal, me avisou que estavam sem toalha.... enfim.;7;;;;;;;;
31 de janeiro de 2025;Bom;Localização;Café e barulho;7;;;;;;;;
28 de janeiro de 2025;Hotel bom, café bom, preço bem razoável!;Café da Manhã bom.;Funcionários poderiam ser mais atenciosos na recepção.;8;;;;;;;;
27 de janeiro de 2025;Satisfatório;;O cartão de crédito corporativo não funcionou na maquininha;6;;;;;;;;
21 de janeiro de 2025;Bom;Dormi em um local;Da reforma;7;;;;;;;;
18 de janeiro de 2025;Bom;Localização.;Café da manhã, atendimento da recepção, falta de tomadas no quarto, tampa do vaso sanitario solta, estacionamento.;7;;;;;;;;
16 de janeiro de 2025;Bom;Local;Limpeza;7;;;;;;;;
15 de janeiro de 2025;O local precisa de uma dedetização e melhor controle dos alimentos.;Bem localizado e bom atendimento,;No café da manhã havia pão mofado e o quarto estava cheio de formigas.;7;;;;;;;;
